,id,gpt-3.5-turbo_A_vote,gpt-3.5-turbo_A_for_lprob,gpt-3.5-turbo_A_against_lprob,gpt-3.5-turbo_H_vote,gpt-3.5-turbo_H_for_lprob,gpt-3.5-turbo_H_against_lprob,gpt-3.5-turbo_Sp_vote,gpt-3.5-turbo_Sp_for_lprob,gpt-3.5-turbo_Sp_against_lprob,gpt-3.5-turbo_FrP_vote,gpt-3.5-turbo_FrP_for_lprob,gpt-3.5-turbo_FrP_against_lprob,gpt-3.5-turbo_KrF_vote,gpt-3.5-turbo_KrF_for_lprob,gpt-3.5-turbo_KrF_against_lprob,gpt-3.5-turbo_MDG_vote,gpt-3.5-turbo_MDG_for_lprob,gpt-3.5-turbo_MDG_against_lprob,gpt-3.5-turbo_SV_vote,gpt-3.5-turbo_SV_for_lprob,gpt-3.5-turbo_SV_against_lprob,gpt-3.5-turbo_V_vote,gpt-3.5-turbo_V_for_lprob,gpt-3.5-turbo_V_against_lprob,gpt-3.5-turbo_R_vote,gpt-3.5-turbo_R_for_lprob,gpt-3.5-turbo_R_against_lprob
10,114474,for,-0.0042415163,-6.180347,for,-0.00053158705,-9.240827,for,-0.0011147353,-8.139167,for,-0.0059784506,-5.754575,for,-0.0062572467,-6.282613,for,-0.003679648,-5.994511,for,-0.0057375096,-5.359331,for,-0.001105683,-10.467145,for,-0.001153436,-8.337424
11,114481,for,-0.007999445,-9.148302,for,-0.0047119535,-12.557927,for,-0.0007436376,-11.726738,for,-0.0015247372,-7.3862543,for,-0.0036304812,-8.598355,for,-0.0005892523,-9.707785,for,-0.006231537,-6.772909,for,-0.0013492841,-11.093875,for,-0.0049666627,-9.997292
12,114482,for,-0.00711221,-9.09486,for,-0.0017518185,-13.237706,for,-0.0008772778,-11.537828,for,-0.0035076535,-7.3838387,for,-0.003968574,-9.372142,for,-0.0026254775,-7.05408,for,-0.0028732268,-9.690717,for,-0.003173195,-11.973968,for,-0.0042537465,-9.614334
13,114483,mot,-1.0195918,-0.448772,for,-0.21500546,-1.6490111,mot,-1.2576879,-0.33496606,mot,-2.6716406,-0.07361812,mot,-0.7350745,-0.65885687,for,-0.011948994,-4.5919566,mot,-4.781671,-0.010015186,for,-0.03312907,-3.4953253,for,-0.24067946,-1.5469615
14,114613,for,-0.008235,-6.4993544,for,-0.003000762,-12.1105795,for,-0.00040242894,-11.069996,for,-0.005257476,-5.6133566,for,-0.0049921707,-7.260365,for,-0.005322697,-6.307943,for,-0.0056468328,-5.8047915,for,-0.0032070617,-10.424037,for,-0.0033939679,-7.3383684
15,114622,for,-0.0048610917,-10.962817,for,-0.040661715,-11.7718115,for,-0.0019691966,-10.3592615,for,-0.002160495,-9.480243,for,-0.0021571608,-10.134775,for,-0.0017205193,-8.664949,for,-0.0013953535,-9.451606,for,-0.001011492,-12.095269,for,-0.0066266777,-10.7850485
16,114631,for,-0.02212427,-3.8292608,for,-0.017308133,-4.077672,for,-0.014652787,-4.23671,for,-0.17882511,-1.8130147,for,-0.05262805,-2.989533,for,-0.024989063,-3.735118,for,-0.11015997,-2.267066,for,-0.0010440053,-6.9792867,for,-0.07545292,-2.6293125
17,114640,for,-0.0017234884,-10.965001,for,-0.0017610944,-16.283655,for,-0.00013488642,-15.154895,for,-0.00017135908,-12.996479,for,-0.0007565005,-12.262425,for,-0.00014311148,-11.657022,for,-0.0006460758,-12.718184,for,-0.0008116515,-15.021853,for,-0.00023715216,-13.03085
18,114722,mot,-1.9442271,-0.15873519,mot,-1.0401106,-0.43769366,mot,-1.0575528,-0.42782643,mot,-3.086434,-0.05419979,mot,-1.2681303,-0.33243847,mot,-1.020802,-0.44907042,mot,-2.9907458,-0.053825725,for,-0.68042994,-0.70970774,mot,-2.1973689,-0.11905312
19,114733,for,-0.18782166,-2.0058491,for,-0.007959115,-4.862024,for,-0.039172612,-3.2676196,for,-0.5133381,-0.9192829,for,-0.33555904,-1.2634422,for,-0.10702043,-2.3052435,mot,-0.75115395,-0.6431103,for,-0.0023472193,-6.4408693,for,-0.04759361,-3.1339374
20,114741,for,-0.00062737183,-14.076117,for,-0.0038481746,-15.849,for,-4.429897e-05,-13.563934,for,-0.0015005792,-10.619313,for,-0.0008557166,-14.2896185,for,-0.00020675888,-12.605638,for,-0.0010908046,-12.507662,for,-0.0013401238,-15.137397,for,-0.0003856286,-12.969364
21,114750,for,-0.00027694786,-15.240845,for,-0.00080796354,-18.26384,for,-6.5994034e-05,-16.29882,for,-0.000111410634,-15.051326,for,-6.682846e-05,-16.39141,for,-0.00010151673,-14.25585,for,-0.00017684244,-14.089137,for,-0.00020449402,-17.926676,for,-0.00015264409,-15.0414295
22,114805,mot,-1.3087248,-0.32026806,mot,-1.7555616,-0.19035703,for,-0.6143577,-0.78001857,mot,-2.8645225,-0.061574552,mot,-1.7355263,-0.20464253,mot,-1.8134123,-0.18155347,for,-0.51371545,-0.913984,for,-0.5843771,-0.816902,mot,-1.7380528,-0.19606833
23,114806,for,-0.0018641414,-8.707232,for,-0.012267694,-12.552877,for,-0.0002074741,-9.982679,for,-0.0022636133,-6.3333316,for,-0.00056780665,-10.6510725,for,-0.0062572467,-5.265506,for,-0.0021800003,-6.471607,for,-0.0001501445,-12.223578,for,-0.003004685,-7.6309323
24,114807,for,-0.0019814528,-9.66724,for,-0.0062089046,-13.764222,for,-0.00026431592,-11.936629,for,-0.0008953821,-7.7556505,for,-0.0019464875,-8.730052,for,-0.000800219,-10.848823,for,-0.006952992,-6.3452897,for,-0.001394046,-12.474316,for,-0.0060900697,-8.165276
25,114808,for,-0.00063702365,-11.453711,for,-0.00023011913,-12.116097,for,-9.150362e-05,-12.829819,for,-0.00095290976,-7.8862886,for,-0.0020735294,-9.433666,for,-0.0007276826,-8.638904,for,-0.0015004601,-7.9672084,for,-0.00010223195,-14.321109,for,-0.0024642406,-11.045347
26,114812,for,-0.013340805,-4.778165,for,-0.005355075,-5.467187,for,-0.0020590231,-6.269948,for,-0.15303794,-1.9695662,for,-0.0132158855,-5.193264,for,-0.009060868,-5.154359,for,-0.014553503,-4.301974,for,-0.00088443,-7.6577983,for,-0.00862084,-4.941726
27,114813,for,-0.019168478,-4.1823745,for,-0.038015787,-7.204367,for,-0.004035776,-5.6890163,for,-0.08868937,-2.4965606,for,-0.013172353,-5.07885,for,-0.059793822,-2.909407,for,-0.03691585,-3.3564348,for,-0.0058659827,-6.9036093,for,-0.019783659,-4.3414674
28,114814,for,-0.016587095,-5.9828024,for,-0.01509039,-7.7330775,for,-0.0008660836,-8.639227,for,-0.019713528,-4.4339285,for,-0.023370331,-7.6668353,for,-0.006665993,-6.9332256,for,-0.007979697,-6.594436,for,-0.019859971,-8.518292,for,-0.018912911,-8.751453
29,114821,for,-8.685468e-05,-10.334268,for,-0.0005637574,-11.14811,for,-2.9994528e-05,-11.318084,for,-0.00012535013,-9.877072,for,-4.3941356e-05,-10.471926,for,-0.00010545045,-10.110145,for,-7.8033605e-05,-10.058277,for,-5.3239244e-05,-11.496824,for,-0.000210335,-9.380155
30,114848,for,-0.025571868,-4.364565,for,-0.016686287,-8.507676,for,-0.003508607,-5.885659,for,-0.015611265,-4.898723,for,-0.0051783705,-6.2549057,for,-0.0041478495,-7.130613,for,-0.016602457,-5.055316,for,-0.02079155,-9.068094,for,-0.010290263,-6.3812065
31,114849,for,-0.2709829,-1.56872,for,-0.020771706,-4.825402,for,-0.20535244,-1.6945912,mot,-1.4931304,-0.2624748,for,-0.421455,-1.0792271,for,-0.5487462,-0.89327824,for,-0.33412,-1.2784903,for,-0.080999784,-3.5101514,for,-0.13150233,-2.1528056
32,114854,for,-0.0023167727,-8.858584,for,-0.0017737116,-11.3601265,for,-0.00014823723,-11.235576,for,-0.0010180408,-8.620646,for,-0.0014328588,-9.729025,for,-0.0047832574,-8.774742,for,-0.0024171572,-9.582021,for,-0.0027375894,-10.99071,for,-0.00081629684,-7.922947
33,114863,for,-0.0016220992,-15.770524,for,-0.009478034,-17.528637,for,-0.0017175429,-15.6889715,for,-0.0028481483,-14.161612,for,-0.004881604,-14.0142565,for,-0.02737449,-13.23271,for,-0.0074584885,-14.753352,for,-0.0029627269,-16.309175,for,-0.002797868,-13.702314
34,114865,for,-0.020193104,-4.1491413,for,-0.0017626442,-7.0502133,for,-0.009204167,-4.7377887,for,-0.40077326,-1.1149914,for,-0.011029314,-4.7093687,for,-0.054519758,-2.9976826,for,-0.009891608,-4.9625416,for,-0.0017525337,-7.216373,for,-0.016628835,-4.402098
35,114866,for,-0.0060584326,-8.2302885,for,-0.05194436,-10.564373,for,-0.00050751894,-9.891771,for,-0.0038587435,-6.0007954,for,-0.003751029,-7.7379446,for,-0.0020233318,-7.5100627,for,-0.0020465287,-6.75762,for,-0.0030707605,-10.214464,for,-0.0038069724,-7.9683094
36,114867,for,-0.0009807667,-14.676094,for,-0.0012167827,-17.100555,for,-0.00022022522,-15.302047,for,-0.0027988183,-11.730191,for,-0.0032330903,-11.374689,for,-0.0037696746,-13.351783,for,-0.00085464376,-13.037348,for,-0.0003434488,-16.16673,for,-0.0023962248,-11.281859
37,114872,for,-0.41864964,-1.0762501,for,-0.31904408,-1.3748207,mot,-1.0623304,-0.42600834,mot,-3.0950608,-0.05070533,for,-0.42301896,-1.0698466,for,-0.57293737,-0.83741796,mot,-1.0540768,-0.43191108,for,-0.2020636,-1.7099409,for,-0.33569905,-1.2774677
38,114881,for,-0.0031947086,-7.591507,for,-0.00019889144,-9.486796,for,-0.0008864454,-7.7204223,for,-0.012373325,-4.6124425,for,-0.0020327305,-7.326143,for,-0.00566793,-6.613292,for,-0.0023914676,-6.902826,for,-0.0015521175,-8.471634,for,-0.004360333,-6.459791
39,1148910,for,-0.003415228,-6.910363,for,-0.0010737769,-7.646332,for,-0.0005612541,-8.752156,for,-0.011075886,-4.8729973,for,-0.009533773,-5.114747,for,-0.005762638,-6.2396436,for,-0.0021945175,-6.3778543,for,-0.0004037402,-8.321469,for,-0.0012840448,-7.2158666
40,114900,for,-0.019144153,-5.60104,for,-0.010117625,-7.5459356,for,-0.0024813658,-7.3002205,for,-0.04298252,-3.4437184,for,-0.015481207,-4.425212,for,-0.03451961,-4.409676,for,-0.023562698,-4.056474,for,-0.006346446,-9.059369,for,-0.01519817,-5.47308
41,114914,for,-0.000692182,-13.512772,for,-0.00034774013,-15.302718,for,-0.00024667746,-15.032464,for,-0.0018114368,-12.515605,for,-0.000305311,-14.142103,for,-0.014404185,-11.288034,for,-0.00039111197,-11.7606945,for,-0.0022212723,-13.047309,for,-0.00035310065,-13.616222
42,114921,for,-0.0011939177,-9.584377,for,-0.0017568141,-15.315201,for,-0.000107000094,-13.400194,for,-0.0002879146,-11.4301815,for,-0.001817863,-10.555498,for,-0.00018268342,-10.736307,for,-0.0018063223,-9.016209,for,-0.0012347569,-13.184695,for,-0.00063773885,-11.892726
43,114922,for,-0.00012964146,-16.230488,for,-0.00021664912,-17.29871,for,-0.0002518032,-16.356665,for,-0.0001624188,-14.941036,for,-8.5781845e-05,-15.845419,for,-0.00024037065,-13.017796,for,-0.00046653853,-14.709378,for,-0.0008531087,-15.831771,for,-0.00047059145,-14.324752
44,114933,for,-0.011828837,-5.5898337,for,-0.0014165462,-10.520383,for,-0.00026073982,-9.619884,for,-0.028205214,-3.980199,for,-0.005191063,-5.846242,for,-0.0057794773,-5.7352715,for,-0.033161473,-3.5006926,for,-0.0030898936,-7.979416,for,-0.0049199234,-6.364394
45,114970,for,-0.018969296,-5.28184,for,-0.004494447,-6.7092733,for,-0.004795477,-5.5813146,for,-0.028965648,-3.6418064,for,-0.011388614,-4.7012253,for,-0.0074344696,-5.2581744,for,-0.008484914,-4.9428225,for,-0.0044415127,-7.2733073,for,-0.0020518855,-7.013471
46,114983,for,-0.0023522184,-8.027517,for,-0.0029426366,-12.32353,for,-0.0010573413,-9.319667,for,-0.002916619,-6.4380536,for,-0.0027708823,-6.9884257,for,-0.0053045508,-6.509754,for,-0.005622647,-8.066904,for,-0.0027412775,-10.988129,for,-0.0008788274,-10.09737
47,114994,for,-0.0020799553,-9.070426,for,-0.0027633908,-12.301193,for,-0.00018911675,-10.9838295,for,-0.0010898546,-8.025451,for,-0.0007268482,-10.145248,for,-0.0025458166,-7.685039,for,-0.00050144317,-10.967566,for,-0.0003241415,-13.329771,for,-0.000609748,-11.992354
48,115001,for,-0.053411514,-2.993616,for,-0.039175823,-5.974063,for,-0.0040266337,-5.709831,for,-0.4724837,-0.9821349,for,-0.14536043,-2.0361533,for,-0.18080476,-1.8283496,for,-0.02413179,-3.7948685,for,-0.014633988,-4.3565893,for,-0.035649884,-3.4115615
49,115002,for,-0.0041070157,-7.0525155,for,-0.0022997742,-10.322635,for,-0.0014580933,-8.270762,for,-0.028193392,-3.7784624,for,-0.01281087,-6.3323736,for,-0.014391616,-4.8340783,for,-0.006774584,-6.7851996,for,-0.001537835,-10.311883,for,-0.006766887,-7.3049674
50,115015,for,-0.02724074,-11.151358,for,-0.0027383047,-12.746964,for,-0.00036049128,-11.288734,for,-0.005643517,-7.490991,for,-0.0029072277,-9.4617405,for,-0.0013979761,-9.626705,for,-0.0032493663,-8.041162,for,-0.0049740165,-12.23761,for,-0.0054720943,-8.587589
51,115020,for,-0.002176789,-9.775344,for,-0.009824206,-12.769309,for,-0.00012868783,-10.847032,for,-0.0040191608,-7.1112847,for,-0.00076900964,-10.727648,for,-0.0045588845,-9.034668,for,-0.004235582,-7.5361876,for,-0.0011125932,-13.748242,for,-0.010176633,-9.200402
52,115030,for,-0.016880406,-4.4487653,for,-0.005537301,-8.153299,for,-0.0044029364,-5.865012,for,-0.061939787,-2.8725,for,-0.011756265,-4.790916,for,-0.0435007,-3.651384,for,-0.021135936,-4.289265,for,-0.0062651816,-7.4862857,for,-0.016999012,-4.821492
53,115031,for,-0.0008295211,-15.261711,for,-0.00023298002,-17.505972,for,-4.3583746e-05,-15.718414,for,-0.0009876733,-14.380766,for,-0.00012284685,-15.3064375,for,-0.00020437481,-13.134529,for,-0.00042197472,-13.484692,for,-2.2246291e-05,-15.405883,for,-0.0012685667,-13.135401
54,115032,for,-0.00021784115,-15.529404,for,-0.0001530017,-17.698605,for,-1.962381e-05,-15.049464,for,-0.00018720949,-14.090292,for,-0.00045962472,-15.40431,for,-7.171581e-05,-14.59331,for,-0.00015205175,-15.1742525,for,-0.000113913906,-18.149612,for,-5.5146502e-05,-15.47707
55,115033,for,-0.0011803467,-13.401461,for,-0.0020079839,-17.154507,for,-0.00019698418,-15.153468,for,-0.0003970648,-13.036358,for,-0.0012103531,-14.623599,for,-0.00025061116,-13.202561,for,-0.0009911301,-11.688127,for,-0.0003060262,-16.24194,for,-0.0050708065,-14.429866
56,115034,for,-0.00059520884,-13.669079,for,-0.0030516237,-16.00202,for,-0.00015229016,-13.811071,for,-0.00050775736,-9.574783,for,-0.0013424931,-12.643095,for,-0.000371447,-11.006616,for,-0.00043341093,-12.934505,for,-0.00021521868,-15.828833,for,-0.0015241486,-12.074659
57,115035,for,-0.003968928,-11.819595,for,-0.002650571,-16.517881,for,-0.0001472836,-13.734175,for,-0.0051180036,-8.552253,for,-0.00085287035,-11.013538,for,-0.0122581525,-9.494629,for,-0.0010162565,-12.813908,for,-0.000876447,-14.146655,for,-0.00067526236,-13.624393
58,1150513,mot,-2.6176207,-0.10047354,mot,-1.6390893,-0.28219396,mot,-2.4185104,-0.09655372,mot,-3.2144668,-0.046410434,mot,-1.6045004,-0.23458154,mot,-1.5272139,-0.25779334,mot,-1.1934133,-0.3720898,mot,-1.3121582,-0.3611847,mot,-0.9165693,-0.5233961
59,1150514,for,-0.28248563,-1.5368305,for,-0.26735783,-1.4705057,for,-0.41454968,-1.0850781,mot,-1.1101744,-0.40232682,for,-0.23084813,-1.6136682,for,-0.23052801,-1.5977613,for,-0.21738805,-1.6467017,for,-0.15741116,-1.9683242,for,-0.14536114,-2.0203154
60,1150612,for,-0.001731345,-9.75369,for,-0.002290137,-15.091609,for,-5.7172965e-05,-11.84161,for,-0.00058210373,-8.968702,for,-0.00097647903,-8.898907,for,-0.0004869187,-10.031247,for,-0.0005603005,-8.414364,for,-0.00050513487,-14.127289,for,-0.00027933193,-11.214393
61,1150710,for,-0.083168216,-3.1021082,for,-0.012305497,-5.72046,for,-0.024519224,-3.79447,mot,-0.8992781,-0.5281691,for,-0.07900072,-2.8685172,for,-0.07783693,-2.6163082,for,-0.041095074,-3.3102105,for,-0.069696195,-5.122324,for,-0.01633112,-4.7472157
62,115087,for,-0.0020652106,-6.265863,for,-0.00081260514,-7.2966785,for,-0.00016468366,-9.144454,for,-0.049014248,-3.0475914,for,-0.0010918775,-6.9347124,for,-0.00042412037,-8.693397,for,-0.011986926,-4.4728746,for,-7.147741e-05,-10.859326,for,-0.0020019154,-6.709077
63,115091,for,-0.02068728,-7.1625443,for,-0.0043917825,-11.721097,for,-0.00042768914,-9.148678,for,-0.014477855,-4.5307283,for,-0.004455159,-7.1419215,for,-0.004921343,-6.28793,for,-0.00575268,-6.09247,for,-0.009278689,-11.230838,for,-0.004039218,-10.672233
64,115092,for,-0.0015221222,-8.064096,for,-0.0008590543,-13.511386,for,-0.00044365876,-10.30395,for,-0.0021308719,-6.7664685,for,-0.0016060324,-7.427902,for,-0.0059643458,-5.42148,for,-0.0065042167,-5.531748,for,-0.0011159272,-11.234652,for,-0.0017665742,-9.487028
65,115093,for,-0.009870357,-5.1246376,for,-0.000728517,-9.215969,for,-0.0028408952,-5.9863214,for,-0.011098162,-4.784942,for,-0.0032212068,-6.4037013,for,-0.003821099,-7.386687,for,-0.0072156605,-5.4551506,for,-0.007689798,-8.436534,for,-0.0032190646,-6.6209273
66,115094,for,-0.05222964,-3.1522205,for,-0.0030809827,-6.4123044,for,-0.011450837,-4.8944864,for,-0.05686185,-3.4863987,for,-0.04407017,-3.9246492,for,-0.08477354,-2.5992541,for,-0.06708183,-3.0824018,for,-0.037648696,-5.8266006,for,-0.008838275,-6.5326343
67,115095,for,-0.018293576,-8.272577,for,-0.0006628762,-11.871152,for,-0.00046618094,-9.607064,for,-0.00884064,-6.5552254,for,-0.01095703,-5.738191,for,-0.002282765,-8.731651,for,-0.0041833483,-6.9957395,for,-0.0018656912,-10.358465,for,-0.0020110758,-8.18521
68,115096,for,-0.00013834333,-17.603813,for,-0.001651614,-18.587019,for,-0.00010688089,-17.941624,for,-0.00012035091,-16.47948,for,-0.00016468366,-16.742836,for,-0.0004479501,-14.874039,for,-0.00013834333,-16.360518,for,-0.00011260267,-17.753082,for,-0.00015991552,-16.354038
69,115098,for,-0.001408686,-14.679294,for,-0.00025597532,-17.696512,for,-7.076218e-05,-16.038486,for,-0.00018172979,-12.632895,for,-0.00023965542,-14.984578,for,-0.00012272765,-12.717563,for,-0.00044449317,-13.271839,for,-0.0002585978,-16.235521,for,-0.0012626138,-14.069063
70,115099,for,-0.023395488,-3.8874073,for,-0.00581396,-7.136845,for,-0.15175454,-1.9637967,mot,-1.6344965,-0.2196328,for,-0.06693311,-2.786324,for,-0.0098742535,-5.353361,for,-0.14088398,-2.1177173,for,-0.0058373185,-5.4780607,for,-0.027645405,-3.6522734
71,1151015,for,-0.53673726,-0.9167803,mot,-2.019618,-0.15010546,for,-0.505898,-0.93141985,mot,-2.6204212,-0.08161809,for,-0.65657395,-0.76660126,for,-0.31915748,-1.3610467,for,-0.47225562,-0.98314273,mot,-1.6056161,-0.23667759,mot,-2.31973,-0.10571027
72,1151111,for,-0.17825343,-1.8219836,for,-0.037509196,-3.5434754,for,-0.1536367,-1.9526403,for,-0.58820313,-0.81583375,for,-0.32768613,-1.2818868,for,-0.5285492,-0.89559937,for,-0.27333912,-1.4363335,for,-0.038010396,-3.3596294,for,-0.5568218,-0.8537502
73,115120,for,-0.0039226185,-7.5434637,for,-0.0031559728,-13.7811,for,-0.0005580356,-9.837008,for,-0.0024923033,-7.1023517,for,-0.002302032,-9.534861,for,-0.0015265254,-8.916816,for,-0.0013115442,-8.51323,for,-0.0020575963,-12.5375595,for,-0.0014961724,-12.463841
74,115130,for,-0.08068742,-3.5729818,for,-0.06277039,-3.8186107,for,-0.020878065,-4.1255226,for,-0.18009822,-1.8725535,for,-0.0576977,-3.1458478,for,-0.36999822,-1.2185891,for,-0.24381757,-1.5392582,for,-0.060036667,-4.697398,for,-0.42633584,-1.0662322
75,115140,mot,-1.3309507,-0.31209087,mot,-1.9244369,-0.1596664,mot,-1.3494219,-0.30119643,mot,-3.673597,-0.027927142,mot,-1.8163165,-0.18335901,mot,-1.9831942,-0.15066712,mot,-1.3050902,-0.3173468,mot,-1.1754725,-0.37488958,mot,-1.4569982,-0.2658781
76,115184,for,-0.02107873,-4.172299,for,-0.013265991,-4.7733006,for,-0.0048282226,-5.5345716,for,-0.4542918,-1.0361323,for,-0.054559384,-3.0760686,for,-0.021854527,-4.250046,for,-0.007991878,-5.3826485,for,-0.049445372,-4.5797586,for,-0.006226798,-5.5029616
77,115195,for,-0.28084037,-1.4305291,for,-0.08000252,-2.7353237,for,-0.31166488,-1.3203471,for,-0.4041382,-1.1262757,for,-0.12610677,-2.2087064,for,-0.29859692,-1.3686881,for,-0.07831412,-2.6241934,for,-0.010900435,-4.597744,for,-0.02532386,-3.8683891
78,115203,for,-0.08033468,-2.620885,for,-0.0033553476,-6.1989045,for,-0.0017455117,-6.692387,for,-0.31814036,-1.3100647,for,-0.048600093,-3.092145,for,-0.048545014,-3.3849576,for,-0.010309022,-4.788225,for,-0.0037997265,-6.6364884,for,-0.0033811415,-6.9162955
79,115216,for,-0.010689808,-4.831052,for,-0.00012880703,-9.909034,for,-0.0014774868,-6.644588,for,-0.22828123,-1.5932753,for,-0.0097359,-4.9108152,for,-0.018643126,-4.1274743,for,-0.03826525,-3.308239,for,-0.0010192328,-9.156659,for,-0.003210627,-6.4328866
80,115217,for,-0.04109588,-3.743191,for,-0.002592539,-6.49112,for,-0.0067435545,-5.0575533,for,-0.20557503,-1.6957979,for,-0.0055119265,-5.782869,for,-0.08215652,-2.597112,for,-0.1225613,-2.1727474,for,-0.0055897026,-7.431962,for,-0.005207194,-5.884859
81,115221,for,-0.010208368,-11.350616,for,-0.017636603,-13.224488,for,-0.0007899748,-9.989883,for,-0.0044352207,-10.538543,for,-0.0034682134,-9.499167,for,-0.0035411553,-10.969073,for,-0.0011139008,-8.521334,for,-0.005478964,-12.570786,for,-0.0005374244,-10.833309
82,115232,for,-0.013598492,-6.991187,for,-0.01186571,-9.238827,for,-0.0003277176,-9.875341,for,-0.011064563,-4.9161263,for,-0.0045304,-6.599211,for,-0.0040614214,-7.030495,for,-0.003892711,-6.6742115,for,-0.00074530643,-11.24873,for,-0.0092394715,-7.055289
83,115240,for,-0.0020152405,-8.394795,for,-0.0009487376,-11.614842,for,-0.00024013224,-10.221268,for,-0.0040909853,-6.790628,for,-0.0030366553,-8.768297,for,-0.0009689876,-10.4271145,for,-0.0017086136,-7.7206435,for,-0.0013484497,-11.609299,for,-0.0023072658,-9.587615
84,115430,for,-0.003938768,-5.6611443,for,-0.0025101432,-6.1210327,for,-0.019748477,-3.9406507,for,-0.18099897,-1.8079711,for,-0.006870595,-5.0247827,for,-0.03115776,-3.69407,for,-0.00572554,-5.2408175,for,-0.00050025113,-7.7734284,for,-0.002044625,-6.2480297
85,115392,for,-0.0018650951,-9.335489,for,-0.00017934572,-10.991091,for,-0.00021796036,-8.997287,for,-0.0036693178,-6.804851,for,-0.0025653145,-8.702885,for,-0.0009602967,-8.101758,for,-0.00038384052,-10.420872,for,-0.00046963783,-13.578535,for,-0.00055887003,-11.768543
