,id,gpt-3.5-turbo_vote,gpt-3.5-turbo_for_lprob,gpt-3.5-turbo_against_lprob
277,117555,for,-0.010206717,-4.9236436
278,1176613,for,-0.00026157423,-11.279402
279,1176614,for,-1.998142e-05,-18.525822
280,1176712,for,-0.00014358829,-12.950049
281,1176811,for,-0.000386463,-9.955304
282,1176910,for,-0.00981665,-5.183616
283,117708,for,-0.0015534287,-7.289859
284,117709,for,-5.0735965e-05,-17.184782
285,117711,for,-0.00012237004,-13.587633
286,117712,for,-0.010113962,-4.8255897
287,117713,for,-0.07851956,-2.5907419
288,117714,for,-8.017927e-05,-14.086128
289,117715,for,-0.0006332091,-11.193008
290,117716,for,-0.004843646,-5.7366266
291,117717,for,-0.00016098835,-11.793807
292,117761,for,-0.29361013,-1.3853383
293,117762,for,-0.017290441,-4.334723
294,117782,for,-0.00036953975,-13.112119
295,117791,for,-0.0006210577,-9.666863
296,1186220,for,-0.00038765505,-13.200558
297,1186318,for,-0.2860852,-1.409689
298,118643,for,-0.027278323,-3.6893764
299,118654,for,-0.037735485,-3.5444665
300,118655,for,-4.2630116e-05,-13.8677435
301,118659,for,-0.0016195995,-13.865223
302,1186511,for,-0.0012576146,-9.556626
303,1186512,for,-0.00024001303,-12.667217
304,1186513,for,-0.0014754604,-11.520728
305,1186515,for,-9.5914154e-05,-15.864774
306,1186614,for,-0.00029255985,-12.129752
307,118677,for,-0.00026848805,-10.255814
308,118686,for,-1.2948405e-05,-16.795818
309,1186817,for,-0.03557856,-3.6490715
310,1186910,for,-0.0018690214,-10.217651
311,1186916,for,-0.008423441,-4.956446
312,118702,for,-6.718607e-05,-16.77647
313,117951,for,-0.08095901,-2.5638044
314,118710,for,-0.0007541202,-10.776149
315,118711,mot,-1.3085995,-0.31748012
316,1180632,for,-8.685468e-05,-17.53931
317,1180731,for,-0.00012999907,-13.82642
318,1180830,for,-0.0016597089,-7.440846
319,1180928,mot,-1.7499968,-0.19130766
320,1180929,for,-0.25794873,-1.487315
321,1181027,mot,-0.73702204,-0.7063328
322,1181126,for,-0.00015836587,-14.716988
323,1181225,for,-2.0100624e-05,-12.139373
324,1181324,for,-0.00018363337,-10.133994
325,1181423,for,-0.0114810085,-4.606032
326,1181522,for,-1.735894e-05,-14.972578
327,1181621,for,-0.068458945,-2.7363744
328,118216,for,-0.020542353,-4.4113865
329,118225,for,-0.015429669,-5.2808084
330,118234,for,-0.0027217795,-12.932005
331,118243,for,-0.00012130453,-9.467679
332,118252,for,-9.651017e-05,-17.226078
333,118261,for,-0.018434249,-4.120172
334,118279,for,-0.41299114,-1.0869337
335,118287,for,-0.0003737119,-8.716431
336,118288,for,-0.012380379,-5.13562
337,118310,for,-0.0008654876,-15.595026
338,118320,for,-7.7079974e-05,-17.800037
339,118386,for,-0.0017816873,-15.982161
340,118387,for,-0.00022654302,-16.440643
341,118394,for,-0.029960718,-3.5808182
342,118402,for,-5.025915e-05,-12.498418
343,118403,mot,-0.80296594,-0.63008004
344,118441,for,-0.0007266098,-12.818867
345,118442,for,-2.4630364e-05,-13.580849
346,118443,for,-7.159661e-05,-13.43554
347,118453,for,-0.0018863997,-6.357691
348,118454,for,-3.8934802e-05,-14.273778
349,118462,mot,-0.94796675,-0.49278563
350,118475,for,-0.003890338,-7.2795196
351,118491,for,-3.23786e-05,-12.806963
352,118737,for,-0.5597312,-0.8523261
353,118746,mot,-0.7948783,-0.60380393
354,118754,for,-0.00015705463,-10.932633
355,118765,for,-0.5349611,-0.8829073
356,118772,for,-0.0002609782,-12.0415745
357,118773,for,-0.00015502817,-14.226077
358,118781,for,-0.0013872624,-12.234155
359,118860,for,-9.3530085e-05,-12.552221
360,118861,for,-0.00068634463,-13.899998
361,118862,for,-0.00014168103,-14.166005
362,118863,for,-0.07744558,-2.6094089
363,118864,for,-0.00054957584,-15.027424
364,118865,for,-0.009722442,-6.7304063
365,118870,for,-0.00014835644,-15.617304
366,1189114,for,-0.08504446,-2.568256
367,1189115,for,-0.00011081461,-14.486181
368,118928,for,-0.00019471932,-12.451294
369,118929,mot,-1.0054535,-0.46056208
370,1189210,for,-0.12345415,-2.2391043
371,1189216,for,-0.021247042,-4.233058
372,1189217,for,-0.03238646,-3.636051
373,118937,for,-0.00097647903,-11.019749
374,1189411,mot,-1.054191,-0.43528306
375,1189412,for,-0.00020163313,-14.144158
376,1189413,for,-0.00070218404,-11.819651
377,118955,for,-5.0139948e-05,-16.271399
378,118956,for,-0.00039015833,-10.360671
379,118964,for,-0.017621025,-4.458146
380,118971,for,-0.27312905,-1.4355588
381,118982,for,-0.00024394676,-11.782154
382,118993,for,-0.12738979,-2.1326046
383,119000,for,-0.00023703295,-15.61777
384,119002,for,-6.217952e-05,-18.504026
385,119003,for,-0.004323422,-6.1026855
386,119032,for,-0.0006108099,-8.399136
387,119070,mot,-1.4211293,-0.28120625
388,119080,for,-0.00029112943,-11.628129
389,119111,for,-0.0054679443,-5.464233
390,119112,for,-0.06586043,-2.918823
391,119113,for,-6.539802e-05,-10.656356
392,119114,for,-0.00080319535,-10.895599
393,119115,for,-0.0001246349,-13.125264
394,119116,for,-0.0017746652,-8.61329
395,119117,for,-0.0002970896,-13.992525
396,119118,for,-0.00055231754,-12.187076
397,119129,for,-0.00016659092,-13.35399
398,119141,for,-0.0007511401,-9.315117
399,119142,for,-0.0071989777,-5.132193
400,119220,for,-0.49295413,-0.94795215
401,119283,for,-7.505351e-05,-11.646169
402,119284,for,-0.1435909,-2.0165195
403,119285,for,-0.00033510823,-11.542773
404,119286,for,-0.00036323295,-10.879739
405,119287,for,-0.010707147,-4.744663
406,119288,for,-1.4855664e-05,-12.455393
407,119289,for,-1.0802739e-05,-14.268247
408,119291,for,-0.0017017219,-12.342146
409,119292,for,-9.72254e-05,-13.898611
410,119373,for,-0.00022320532,-14.848066
411,119391,for,-0.00020807012,-13.306072
412,119392,for,-1.8908588e-05,-13.249504
413,119408,for,-0.00021843717,-12.090884
414,119417,for,-0.26450786,-1.4640661
415,119424,for,-0.15484071,-1.9526656
416,119425,for,-0.0030693375,-8.638647
417,119426,for,-6.980855e-05,-17.785042
418,119431,for,-0.00051943195,-9.230533
419,119452,for,-0.000108668944,-13.568575
420,119453,for,-0.0010085155,-8.889805
421,119466,for,-0.011423621,-5.2288785
422,119472,for,-6.515961e-05,-14.246004
423,119475,for,-6.7901296e-05,-14.304851
424,119480,for,-8.613945e-05,-15.548525
425,119503,for,-0.07505045,-2.6425934
426,119504,for,-0.00017231269,-13.146396
427,1196815,for,-0.00097602064,-11.043921
428,119691,for,-0.0015606892,-8.586753
429,119702,for,-5.3954464e-05,-16.631601
430,119713,mot,-4.8357034,-0.008730392
431,119724,for,-0.0011642689,-11.082353
432,1197211,for,-0.0004624856,-8.557397
433,119735,for,-0.0005493374,-13.381603
434,119738,for,-0.00067026314,-11.539029
435,119739,for,-0.20851466,-1.679172
436,1197312,for,-0.024349498,-3.8180277
437,1197314,for,-0.00026920327,-13.128958
438,119746,mot,-1.721837,-0.2048578
439,119757,for,-0.0005798389,-9.115492
440,1197513,for,-0.00090431503,-10.559492
441,119790,for,-5.5146502e-05,-15.163235
442,119802,mot,-2.3425093,-0.10344019
443,119803,for,-0.04514295,-3.2284029
444,119811,for,-0.00049882074,-7.9006987
445,119820,for,-7.076218e-05,-15.914804
446,119860,for,-0.13530403,-2.0774846
447,119970,for,-0.0032160957,-6.3628106
448,119992,for,-0.092252634,-2.523302
449,120010,for,-0.00047428312,-12.232625
450,120022,for,-2.1650272e-05,-18.593893
451,120041,for,-0.0002750406,-8.664011
452,120052,for,-0.00018506382,-11.571714
453,120071,for,-0.0008323783,-10.694106
454,120111,for,-9.460292e-05,-15.640351
455,120180,for,-0.0003426144,-9.100289
456,120193,for,-0.000118086034,-13.81461
457,120202,for,-0.000904911,-13.22627
458,120214,for,-0.0005265805,-12.459887
459,120231,for,-0.000857147,-9.41332
460,120244,for,-4.0722858e-05,-11.7690325
461,120261,for,-0.0047317725,-5.718803
462,120262,for,-0.00032235344,-11.172752
463,120263,for,-0.036924925,-3.4147172
464,120275,for,-0.0011156888,-16.322895
465,120431,for,-0.31855085,-1.3022354
466,120432,mot,-0.7782654,-0.6174874
467,120443,for,-4.429897e-05,-11.655706
468,120461,for,-0.0106793195,-4.9503517
469,120462,for,-0.28925294,-1.3842123
470,120491,for,-0.011758624,-5.862049
471,120512,for,-0.0061208787,-5.629013
472,120513,mot,-7.153818,-0.001266421
473,1205216,for,-0.6105688,-0.78901654
474,1205217,mot,-14.848874,-5.0497558e-05
475,1205218,for,-0.0002937519,-15.187996
476,1205219,mot,-0.8627462,-0.5713834
477,1205220,for,-9.364929e-05,-16.588678
478,1205312,for,-3.9054008e-05,-17.264496
479,1205313,for,-5.4908094e-05,-13.455858
480,1205314,for,-2.7372049e-05,-16.180946
481,1205315,for,-0.0001167748,-14.150589
482,120582,for,-0.00900227,-5.550527
483,120591,for,-0.0007260138,-10.376178
484,120612,for,-0.00015335932,-13.561074
485,120613,for,-7.8987236e-05,-15.49985
486,120624,for,-4.0603656e-05,-16.432003
487,120625,for,-0.000104496816,-15.156576
488,120641,for,-1.6286107e-05,-16.58482
489,1206612,for,-0.0011048523,-14.375394
490,1206711,for,-0.00010616567,-17.496582
491,1206810,for,-0.0015162922,-9.861666
492,120699,for,-0.00035417348,-14.11189
493,120701,for,-0.0006772888,-15.353968
494,120702,for,-0.00030769507,-13.381682
495,120703,for,-2.3080716e-05,-16.982605
496,120704,for,-0.00043877508,-13.81451
497,120705,for,-4.0842064e-05,-15.93179
498,120706,for,-0.001960513,-10.521313
499,120707,for,-3.4166656e-05,-16.001642
500,120708,for,-0.00021200384,-14.570974
501,1207113,for,-4.5252596e-05,-14.240251
502,120831,for,-0.0003480978,-13.539916
503,120832,for,-0.0022869261,-7.7525578
504,120833,for,-0.0008848958,-16.26921
505,120892,for,-0.006326436,-7.504003
506,120911,for,-0.019047778,-4.0763826
507,120923,for,-0.00093337503,-10.483777
508,120932,for,-0.00028624575,-11.998789
509,120941,for,-0.0006156972,-12.973055
510,120950,for,-0.00019436171,-13.18005
511,120962,for,-0.00013381359,-17.323473
512,120963,for,-0.00032199582,-15.531412
513,120971,for,-0.00016969022,-12.724913
514,120980,for,-0.13214938,-2.09422
515,121090,for,-2.2007884e-05,-17.51193
516,121104,for,-1.1994775e-05,-18.97548
517,121113,for,-0.00016027314,-15.522696
518,121131,for,-1.735894e-05,-18.724564
519,121132,for,-0.00010902656,-15.138542
520,121191,for,-0.0057054004,-6.8749604
521,121202,for,-0.0021243303,-6.2986693
522,121241,for,-9.968313e-06,-16.702736
523,121242,for,-0.0006158164,-10.742601
524,121243,for,-7.4695905e-05,-13.86779
525,121244,for,-0.00013953536,-12.149464
526,121255,for,-1.1756368e-05,-16.177717
527,121275,for,-0.00037490393,-13.937087
528,121276,for,-0.00032926726,-14.3482275
529,121277,for,-0.002667927,-7.3657355
530,121281,for,-3.7265952e-05,-15.706742
531,121293,for,-0.011359624,-4.5989604
532,121304,for,-0.00025883623,-15.083705
533,121312,for,-0.00019948746,-13.412475
534,121333,for,-0.00034726333,-13.471079
535,121334,for,-0.00013285996,-15.981788
536,121342,for,-0.009494334,-4.867004
537,121351,for,-2.4034345e-05,-14.4911585
538,121450,for,-0.0025172771,-9.213617
539,121460,for,-0.00029780483,-12.193289
540,121592,for,-0.00066740223,-13.664837
541,121593,for,-0.0034338809,-11.899461
542,121601,for,-0.00062749104,-8.046942
543,1216512,for,-0.0007411343,-10.395467
544,121976,for,-6.0272258e-05,-15.232276
545,121977,for,-9.4914985e-06,0.0
546,121978,for,-7.2073424e-05,-13.893927
547,1219710,for,-0.00018041854,-13.769778
548,1219711,for,-2.9517714e-05,-17.857073
549,121675,for,-0.0006577504,-12.646612
550,121684,for,-0.00071302796,-9.297676
551,121701,for,-1.1041146e-05,-18.431402
552,121702,for,-0.00015538577,-16.57926
553,121703,for,-2.1054253e-05,0.0
554,121721,for,-0.0017677662,-8.6064205
555,121722,for,-0.00010509284,-11.205538
556,121731,for,-0.049963858,-3.1916056
557,121732,for,-0.02508951,-3.7891905
558,121733,for,-0.00015359772,-12.536757
559,121734,for,-0.10507966,-2.3378448
560,121735,for,-0.039239794,-7.2031155
561,121756,for,-1.4378848e-05,-16.598
562,121757,for,-1.8624639e-06,-17.989944
563,121765,for,-0.0007344626,-14.372763
564,121772,for,-0.021456614,-4.0593367
565,121773,for,-0.013048227,-4.4540863
566,121774,for,-0.0017118285,-8.221229
567,121780,for,-0.24150442,-1.5528982
568,121920,for,-0.0007417303,-11.910564
569,121934,for,-0.0015821129,-6.916356
570,121935,for,-8.041768e-05,-15.948177
571,121942,for,-1.3306016e-05,-18.000036
572,121943,for,-0.00018732868,-11.998396
573,121951,for,-2.319992e-05,-15.260817
574,122031,for,-0.00048429624,-12.697899
575,122032,for,-9.0788395e-05,-11.219552
576,122051,for,-0.00033534665,-9.69668
577,122052,for,-6.897413e-05,-14.82472
578,122062,for,-8.506662e-05,-16.498867
579,122081,for,-0.0005660186,-15.5790825
580,122101,for,-2.7729659e-05,-15.360839
581,122102,mot,-1.2640235,-0.33260798
582,122103,for,-1.1756368e-05,-14.601383
583,122113,for,-0.0021112398,-9.714897
584,122114,mot,-15.403967,-6.647085e-05
585,122115,for,-0.087945424,-2.52424
586,122122,for,-0.00019996427,-9.398754
587,122126,for,-0.0026295194,-6.7092185
588,122131,for,-0.0026450986,-14.906702
589,122153,for,-0.004168983,-7.8080745
590,122171,for,-0.52670574,-0.893939
591,122172,mot,-3.6734157,-0.026069084
592,122191,for,-0.00022809267,-14.939246
593,1222210,for,-0.00013023747,-15.739327
594,122235,mot,-4.573729,-0.010733213
595,122236,for,-0.3030772,-1.3628993
596,122237,for,-0.046077736,-3.25848
597,122238,for,-0.022005325,-4.1482205
598,122239,for,-0.0030219182,-8.21429
599,122244,for,-0.00012821102,-16.543053
600,122261,for,-0.00040779312,-14.815142
601,122262,for,-5.574252e-05,-14.395391
602,122263,for,-0.00039218477,-15.193971
603,122293,for,-0.00039409203,-14.087356
604,122294,for,-0.001310121,-15.585878
605,122301,for,-0.00028243123,-14.130331
606,122302,for,-4.298773e-05,-13.755301
607,122323,for,-3.4047454e-05,-16.48724
608,122324,for,-0.0005234849,-9.574941
609,122325,for,-0.009104583,-5.2629004
610,122326,for,-0.00016682933,-14.4888735
611,122331,for,-1.4140442e-05,-14.597249
612,122342,for,-1.9504607e-05,0.0
613,122366,for,-0.000100205485,-16.8413
614,122367,for,-0.050260343,-3.048868
615,122368,for,-0.0058922954,-6.9287667
616,122372,for,-0.029030375,-3.7736611
617,122383,for,-9.849109e-06,-19.166931
618,122394,for,-0.0001624188,-15.81315
619,122395,for,-0.0005658994,-12.2318735
620,122401,for,-7.886803e-05,-17.327415
621,122450,for,-0.00063106715,-11.122978
622,122483,for,-0.010555118,-4.659996
623,122501,mot,-2.4899719,-0.08918449
624,122502,for,-0.0010646054,-7.7355847
625,122516,for,-1.2664457e-06,-15.480842
626,122517,for,-5.240482e-05,-13.069377
627,122522,for,-0.089666285,-2.4782963
628,122523,for,-0.00043686782,-8.963306
629,122524,for,-0.08582055,-2.5133145
630,122525,for,-0.00014346908,-16.279259
631,122541,for,-7.064298e-05,-13.748722
632,1225512,for,-0.013988375,-4.400135
633,1225513,mot,-3.9136147,-0.022333553
634,1225614,mot,-0.74424565,-0.6512815
635,122576,for,-0.000342376,-12.418036
636,122577,for,-0.00036644045,-8.819025
637,122578,mot,-3.0623596,-0.05003438
638,122579,for,-1.4617256e-05,-12.526572
639,1225710,for,-6.3609965e-05,-15.733684
640,1225711,for,-1.9743013e-05,-12.312415
641,122591,for,-2.5345586e-05,-15.020818
642,122592,for,-0.000102827966,-16.042974
