,id,gpt-3.5-turbo_left_vote,gpt-3.5-turbo_left_for_lprob,gpt-3.5-turbo_left_against_lprob,gpt-3.5-turbo_right_vote,gpt-3.5-turbo_right_for_lprob,gpt-3.5-turbo_right_against_lprob,gpt-3.5-turbo_center_vote,gpt-3.5-turbo_center_for_lprob,gpt-3.5-turbo_center_against_lprob
18,114722,for,-5.967624e-05,-11.297065,for,-0.45023245,-1.0276861,for,-0.0036663485,-5.6605268
19,114733,for,-4.6563837e-05,-12.254346,for,-0.03609899,-3.3531804,for,-0.00022332452,-8.607069
20,114741,for,-4.1080468e-05,-17.356813,for,-0.0068612434,-7.3503537,for,-0.00020210995,-16.347424
21,114750,for,-9.710619e-05,-18.38834,for,-0.0032076577,-11.676206,for,-5.3000836e-05,-18.459911
22,114805,mot,-1.0825591,-0.41433853,mot,-5.2909174,-0.016196478,mot,-4.1665773,-0.016268846
23,114806,for,-3.261701e-05,-15.984106,for,-0.68625635,-0.7148399,for,-0.00026813045,-13.8704195
24,114807,for,-6.749814e-06,-16.754084,for,-0.0046450268,-5.4915547,for,-2.4272753e-05,-15.153298
25,114808,for,-0.00017004783,-13.589806,for,-0.02833559,-3.9449615,for,-0.00014621076,-13.482366
26,114812,for,-0.000602715,-10.888498,for,-0.29164457,-1.524158,for,-0.0025341639,-7.206266
27,114813,for,-0.00024013224,-10.831167,mot,-1.3785155,-0.34789485,for,-0.0005941397,-9.399232
28,114814,for,-0.0003920656,-15.063357,mot,-8.739121,-0.1361837,for,-0.0005381396,-10.107271
29,114821,for,-1.6166903e-05,-18.803902,mot,-4.375214,-0.013853414,for,-2.2961513e-05,-17.796974
30,114848,for,-0.00014942927,-13.334224,for,-0.6988794,-0.7968866,for,-0.0024807698,-8.972051
31,114849,for,-0.0014809363,-6.87449,mot,-0.77148724,-0.6846876,for,-0.097339764,-2.3961985
32,114854,for,-0.00020520923,-14.012223,for,-0.0153038325,-6.0383997,for,-0.0006515555,-13.959916
33,114863,for,-0.0001273766,-17.980011,for,-0.06667218,-8.025788,for,-0.0011499829,-19.074322
34,114865,for,-4.1914896e-05,-11.852318,for,-0.11294475,-2.4487545,for,-0.0018565308,-6.505139
35,114866,for,-0.0033813796,-9.910671,for,-0.1187596,-2.731049,for,-0.0008324975,-13.249597
36,114867,for,-0.0001657565,-14.633324,for,-0.040372424,-6.168075,for,-0.00071171665,-16.27118
37,114872,for,-0.0015847353,-6.5789657,for,-0.607292,-0.80430585,for,-0.20869754,-1.6789162
38,114881,for,-0.000303765,-10.079524,for,-0.17687158,-2.7183506,for,-0.00036763248,-12.094975
39,1148910,for,-0.005019917,-8.768198,for,-0.4727445,-1.0315804,for,-0.0022629017,-10.665147
40,114900,for,-0.00062844466,-11.7918005,for,-0.1525952,-2.078819,for,-0.00045819426,-11.205362
41,114914,for,-9.114601e-05,-15.441565,for,-0.17004958,-2.0086613,for,-0.0008601271,-14.112871
42,114921,for,-6.3609965e-05,-17.274818,mot,-1.1199375,-0.43488657,for,-0.00018995117,-16.586191
43,114922,for,-0.00015264409,-18.563257,for,-0.13385306,-2.5633574,for,-6.313315e-05,-18.153969
44,114933,for,-0.0015946034,-10.836742,for,-0.15211779,-2.2048998,for,-0.000825349,-9.45205
45,114970,for,-0.0028142668,-6.802245,for,-0.16134927,-1.9936628,for,-0.001861761,-7.760559
46,114983,for,-6.8616515e-05,-15.61087,for,-0.098037116,-2.5631974,for,-0.00018577903,-10.997939
47,114994,for,-2.129266e-05,-17.463411,for,-0.027352098,-5.454055,for,-3.0113732e-05,-15.839636
48,115001,for,-0.0015203377,-8.241713,mot,-0.8172103,-0.62756646,for,-0.004532181,-5.9583497
49,115002,for,-0.00019376569,-11.3861475,for,-0.449384,-1.1036694,for,-0.00028147758,-10.655946
50,115015,for,-0.00013703208,-16.152962,for,-0.22187972,-2.0346963,for,-0.0032554308,-12.575298
51,115020,for,-0.00023512568,-16.280502,for,-0.22632726,-1.8737463,for,-0.00014835644,-14.176596
52,115030,for,-0.00059878494,-9.981922,for,-0.38106623,-1.172963,for,-0.007103336,-5.04896
53,115031,for,-1.5451682e-05,-18.525846,for,-0.42342493,-1.1437275,for,-7.660316e-05,-16.746304
54,115032,for,-2.2007884e-05,-19.55659,for,-0.008948517,-6.898534,for,-1.700133e-05,-19.077244
55,115033,for,-0.000108907356,-18.942848,for,-0.09367369,-3.561432,for,-0.00020509004,-18.138746
56,115034,for,-0.00033153212,-16.78192,for,-0.24713457,-1.74731,for,-6.456359e-05,-16.771906
57,115035,for,-0.00046928023,-16.350048,for,-0.22980326,-1.8121073,for,-0.0007702016,-15.836853
58,1150513,for,-0.0008788274,-9.559658,mot,-1.2924104,-0.34722763,for,-0.47998872,-0.967816
59,1150514,for,-0.008517766,-4.8218265,for,-0.52567625,-0.9037204,for,-0.625929,-0.76592076
60,1150612,for,-4.4179764e-05,-15.727062,for,-0.048670255,-3.252005,for,-6.897413e-05,-14.433985
61,1150710,for,-9.2457245e-05,-10.433074,for,-0.4200926,-1.0815,for,-0.00411295,-5.541426
62,115087,for,-0.0001136755,-14.033723,for,-0.004960851,-6.7317333,for,-0.0001501445,-15.378375
63,115091,for,-2.7610455e-05,-14.970138,for,-0.019778399,-4.4814825,for,-7.815281e-05,-13.535866
64,115092,for,-0.00015848507,-12.180378,for,-0.05467113,-3.2059886,for,-0.00011188744,-11.68662
65,115093,for,-2.808727e-05,-12.645469,for,-0.054459702,-2.9626858,for,-0.00032390308,-11.793488
66,115094,for,-0.00078068057,-9.345639,mot,-3.006556,-0.07774208,for,-0.009339875,-4.935825
67,115095,for,-0.0066572344,-5.5128217,for,-0.013968037,-7.0272946,for,-0.0009426693,-11.388281
68,115096,for,-0.000101039914,-19.375046,for,-0.0030207261,-7.512508,for,-5.216641e-05,-18.738813
69,115098,for,-4.370295e-05,-18.280407,for,-0.0039293873,-5.8579717,for,-8.053688e-05,-17.169579
70,115099,for,-0.00046308164,-11.9673,for,-0.08472042,-2.722038,for,-0.00022165567,-10.443665
71,1151015,for,-0.002442597,-6.1000433,for,-0.45848715,-1.008578,mot,-1.3659403,-0.2959444
72,1151111,for,-0.0007372043,-7.353215,for,-0.27383676,-1.4481341,for,-0.0049308357,-5.5299897
73,115120,for,-0.0001408466,-12.954815,for,-0.4969121,-1.140215,for,-5.121278e-05,-12.388485
74,115130,for,-0.019392747,-4.1023054,mot,-0.7447025,-0.70209235,for,-0.0030700453,-7.5411158
75,115140,for,-0.117086336,-2.2100086,mot,-0.82173485,-0.5907549,mot,-2.9590945,-0.055654068
76,115184,for,-5.7888185e-05,-14.928887,mot,-4.4828525,-0.0126298405,for,-0.009366558,-4.7245097
77,115195,for,-0.0009728021,-7.8236065,for,-0.52282536,-0.9100324,for,-0.0077167703,-4.9968677
78,115203,for,-0.0004801241,-10.935529,mot,-3.4844778,-0.06837824,for,-0.011416076,-4.5289445
79,115216,for,-0.0017337289,-8.1481495,for,-0.0744675,-2.7225845,for,-0.0023737466,-6.285056
80,115217,for,-0.00029327508,-9.636454,mot,-1.9162691,-0.18755318,for,-0.0039328295,-5.7800827
81,115221,for,-0.00045116857,-12.993392,for,-0.21505277,-1.8795539,for,-0.0020751946,-10.868853
82,115232,for,-4.7040652e-05,-12.716044,for,-0.18166202,-1.8917909,for,-0.00054266566,-8.303229
83,115240,for,-1.92662e-05,-16.316742,for,-0.16928849,-2.1762426,for,-0.00022868869,-13.208067
84,115430,for,-1.50940705e-05,-12.491682,for,-0.14990672,-1.9807993,for,-0.00034976663,-8.72582
85,115392,for,-1.8908588e-05,-16.625664,for,-0.29102877,-1.3998201,for,-0.00011594037,-14.058186
86,115400,for,-3.464347e-05,-12.565393,for,-0.0014016677,-7.1728096,for,-0.00012821102,-10.904884
87,115420,for,-0.00016563729,-13.366377,for,-0.021601874,-6.9346,for,-0.0006242762,-14.129474
88,115446,for,-0.00010247036,-17.552008,mot,-4.4910226,-0.047278132,for,-0.00032712158,-15.443326
89,115455,for,-4.3822154e-05,-11.753939,for,-0.039366554,-3.2876804,for,-0.00014621076,-10.019425
90,115464,for,-0.0019231602,-6.4140954,for,-0.061670717,-2.948626,for,-0.17666811,-1.8295803
91,115473,for,-0.00496334,-7.741034,for,-0.045992587,-3.2609031,for,-0.009573452,-10.00408
92,115482,for,-0.00069182436,-9.746171,mot,-0.7654585,-0.72624725,for,-0.009981073,-7.801344
93,115491,for,-0.002485646,-6.3731065,for,-0.4130305,-1.104452,for,-0.0032397439,-6.289962
94,115520,for,-0.00025978617,-9.62882,for,-0.34015816,-1.2569635,for,-0.0049989247,-5.794426
95,115532,for,-6.0391463e-05,-14.718137,for,-0.04221119,-3.9018018,for,-0.00041184606,-13.735575
96,115550,for,-0.0008160584,-13.156885,for,-0.5767184,-0.8600283,for,-0.00091633986,-12.971129
97,1156824,for,-0.00012987986,-13.781492,for,-0.22372715,-1.767455,for,-0.0005165747,-10.257515
98,1156914,for,-3.619312e-05,-12.896042,for,-0.009998189,-4.9402905,for,-0.0002663424,-8.746148
99,1156918,for,-0.006196823,-5.18137,for,-0.18526313,-1.8046861,for,-0.06943365,-2.7088609
100,1156919,for,-0.001093308,-8.367798,for,-0.0041305227,-6.274228,for,-0.0030980967,-7.4252496
101,1156922,for,-0.00026205103,-14.978999,mot,-5.9596586,-0.056244627,for,-0.00022713904,-10.017746
102,1157020,for,-0.021254983,-3.8766208,mot,-2.8227997,-0.064645685,mot,-2.1059105,-0.13119428
103,1157021,for,-0.0004890497,-11.387568,mot,-3.0536473,-0.15666506,for,-0.0013784487,-7.052032
104,1157115,for,-0.0001345288,-12.108977,mot,-2.2878654,-0.14693515,for,-0.0020103606,-6.895548
105,1157216,for,-0.00010497363,-16.336054,mot,-4.225995,-0.06991309,for,-0.00016349163,-14.119102
106,1157217,for,-0.00039301923,-14.042118,mot,-4.8519106,-0.20560348,for,-0.0012994037,-9.46988
107,1157427,for,-0.00015574339,-14.632525,for,-0.05902762,-3.0107756,for,-0.0014329778,-7.7536397
108,1157610,for,-0.06423707,-2.8722606,for,-0.17066656,-1.9528092,for,-0.02175562,-7.126311
109,1157711,for,-0.0012247511,-13.551479,for,-0.47579637,-1.0928961,for,-0.0008828803,-12.500278
110,115796,for,-0.13219242,-2.0896432,for,-0.5748491,-0.82903004,for,-0.0855643,-2.5019348
111,115797,for,-0.6196994,-0.77447695,mot,-1.0441144,-0.43597528,mot,-1.7070704,-0.20111555
112,115803,for,-0.00012237004,-15.3109,for,-0.011696879,-4.5204306,for,-8.6616266e-05,-11.004775
113,115818,for,-0.24244331,-1.5375979,mot,-1.3232621,-0.31065452,mot,-1.2989714,-0.31942204
114,115822,for,-0.0044906503,-11.30479,for,-0.24900582,-2.731504,for,-0.011357735,-11.41125
115,115824,for,-0.00013643607,-17.2144,for,-0.27393103,-1.5227942,for,-0.000107715314,-16.202066
116,115825,for,-0.0018238121,-8.230185,for,-0.111109614,-2.4010038,for,-0.0060926736,-6.1530366
117,1158325,for,-0.00017982253,-10.756026,for,-0.3739508,-1.1895636,for,-0.0005311102,-9.508122
118,115850,for,-6.17027e-05,-12.502496,for,-0.20016885,-1.7166483,for,-0.0017432469,-7.166149
119,115860,for,-0.12131643,-2.1744666,for,-0.10414138,-2.3153613,for,-0.20902045,-1.6717051
120,115870,for,-0.00034678652,-12.691463,for,-0.16599347,-1.9182937,for,-0.0006297559,-8.044489
121,115940,for,-0.0002854113,-15.7858515,for,-0.045545317,-3.2387712,for,-0.00031401284,-14.090215
122,115950,for,-5.8603408e-05,-18.534672,for,-0.30814996,-1.3543841,for,-7.767599e-05,-17.50144
123,115960,for,-0.0010189945,-15.389526,mot,-2.7247152,-0.18335822,for,-0.0016607817,-14.900525
124,115961,for,-2.9279307e-05,-18.961742,for,-0.002838038,-7.38529,for,-2.7848862e-05,-18.900768
125,116033,for,-7.5530326e-05,-16.00551,for,-0.07480669,-2.7828755,for,-0.00039932964,-15.409724
126,116034,for,-3.3809047e-05,-16.399233,for,-0.5114323,-1.0232311,for,-0.00046916102,-14.19635
127,116035,for,-0.00048608426,-10.93651,for,-0.2708066,-1.5809948,for,-0.0018460556,-9.764351
128,116036,for,-0.0015066477,-14.6363945,for,-0.6820926,-0.96929353,for,-0.00064976746,-14.5428705
129,116042,for,-0.0007905708,-14.59047,for,-0.011030968,-5.4633646,for,-0.0004074355,-10.804177
130,116050,for,-0.0010884242,-9.259589,for,-0.14444257,-2.1166868,for,-0.0003862246,-11.247878
131,116061,for,-0.000115463554,-16.41859,for,-0.1469898,-2.4521904,for,-0.00028040475,-14.876106
132,116072,for,-7.226629e-06,-18.016907,for,-0.016086692,-4.51079,for,-0.00010485443,-16.565859
133,116073,for,-0.010437858,-4.673583,for,-0.38394004,-1.2635443,for,-0.108435966,-2.2825959
134,116081,for,-0.032555286,-13.414443,for,-0.37715685,-7.3644214,for,-0.03198372,-15.395934
135,116090,for,-7.696077e-05,-17.018372,for,-0.121655636,-2.2943928,for,-0.00015312091,-14.109822
136,116091,for,-0.001620311,-6.8072844,for,-0.25751364,-1.5039164,for,-0.029763801,-3.7757945
137,116092,for,-2.4391957e-05,-17.149685,for,-0.353395,-1.3207259,for,-3.1305768e-05,-16.4812
138,116093,for,-0.00043484138,-11.309822,for,-0.17397684,-2.2625942,for,-0.0006782424,-12.753922
139,116094,for,-0.0008515591,-13.65738,for,-0.054427188,-3.177867,for,-0.000687533,-9.524236
140,116131,for,-0.00018637507,-13.973264,for,-0.42377403,-1.2022583,for,-0.0008073675,-13.593051
141,116142,for,-2.9875326e-05,-16.402126,for,-0.019587984,-4.109018,for,-4.6563837e-05,-15.366286
142,116153,for,-0.0010786605,-13.635547,for,-0.059570573,-5.0737367,for,-0.0016523292,-12.728814
143,116193,for,-0.00030745665,-14.720509,for,-0.027329952,-6.1988826,for,-6.2656334e-05,-16.01623
144,116194,for,-0.00022022522,-15.701215,for,-1.0425622,-1.1783273,for,-5.9080223e-05,-15.980494
145,116211,for,-6.122589e-05,-14.346966,mot,-1.9753112,-0.16084659,for,-0.00010735771,-13.15286
146,116212,for,-0.010724487,-4.951074,for,-0.30087188,-1.3871603,for,-0.04404508,-3.2217603
147,116280,for,-0.014690959,-4.4736257,for,-0.47577593,-1.0036805,for,-0.36087322,-1.1990767
148,116314,for,-9.794062e-05,-12.511594,for,-0.08382201,-2.6129873,for,-0.0008296403,-7.853731
149,116315,for,-0.00011021859,-11.736769,for,-0.07128596,-2.7805183,for,-0.0006293983,-8.104122
150,116316,for,-6.49212e-05,-11.99114,for,-0.3801676,-1.1569926,for,-0.0031803253,-6.535001
151,116327,for,-0.03512208,-3.4167216,for,-0.47573876,-0.9737284,for,-0.43401334,-1.0468636
152,116330,for,-0.00017147827,-9.511694,for,-0.55197984,-0.8638695,for,-0.21585263,-1.6426677
153,116331,for,-0.00048453463,-7.7122383,for,-0.34279913,-1.2493467,for,-0.1285006,-2.1217182
154,116332,for,-0.002089831,-6.227014,mot,-3.4626465,-0.03274335,for,-0.43450937,-1.0493642
155,1163615,for,-0.0001756504,-14.7829685,for,-0.047259137,-6.390935,for,-0.0016514949,-15.709202
156,1163616,for,-7.8987236e-05,-16.054031,for,-0.045333568,-3.5488832,for,-4.7159858e-05,-15.937707
157,1163617,for,-0.00053063344,-12.914347,for,-0.024108287,-4.428209,for,-0.0008115323,-13.728803
158,1163714,for,-0.00072923227,-13.491815,mot,-0.9820338,-0.6998072,for,-0.004126723,-8.748216
159,116389,for,-2.8444882e-05,-13.068954,for,-0.23383757,-1.5841489,for,-0.0026056257,-5.989294
160,1163810,for,-7.505351e-05,-15.697679,for,-0.017310359,-4.5787325,for,-6.408677e-05,-14.364924
161,1163811,for,-0.00011009939,-15.459235,for,-0.005912327,-7.258428,for,-0.00027266017,-14.694563
162,1163812,for,-0.00012952226,-15.297197,for,-0.015487544,-4.6408043,for,-7.588794e-05,-14.708626
163,1163813,for,-3.106736e-05,-15.806155,for,-0.40772262,-1.1480523,for,-0.00068372214,-8.809939
164,116396,mot,-1.2787914,-0.32711223,mot,-1.8715199,-0.16833392,mot,-1.4676477,-0.26267633
165,116397,for,-1.0206721e-05,-16.505768,for,-0.27845523,-1.4206748,for,-0.00024608144,-13.6017475
166,116398,for,-0.00018804391,-12.271859,for,-0.11333514,-2.3561406,for,-0.0005921132,-11.846917
167,116401,for,-0.0026788681,-6.5902014,for,-0.13229519,-2.1050773,for,-0.006410651,-5.3533974
168,116402,for,-0.0010802065,-6.9060674,for,-0.006613884,-5.188838,for,-0.0038089803,-5.6028423
169,116404,for,-0.0017240845,-11.189138,for,-0.3285852,-1.527123,for,-0.0005612541,-12.646644
170,116405,for,-0.0007828262,-10.092591,mot,-1.873338,-0.23177835,for,-0.005755288,-5.227582
171,116521,for,-8.3278566e-05,-12.737462,for,-0.23915908,-1.5752606,for,-0.13050307,-2.10401
172,116522,for,-0.00036620206,-14.36335,mot,-0.7305354,-0.68408763,for,-0.001813225,-7.7548575
173,116523,for,-5.4312077e-05,-10.978305,for,-0.0136355385,-4.459856,for,-0.0017822833,-6.645528
174,116535,for,-0.00035393506,-13.388097,for,-0.491712,-0.9516119,for,-0.00072529854,-12.059577
175,116536,for,-5.2643223e-05,-12.678803,mot,-4.7142515,-0.016009144,for,-0.0021465737,-6.740882
176,116537,for,-0.000290295,-15.065874,for,-0.22085895,-1.8037561,for,-0.00059890415,-13.244495
177,116543,for,-3.5313153e-06,-19.941992,mot,-0.89973974,-0.5533385,for,-1.0921943e-05,-17.581766
178,116544,for,-0.0012308268,-14.646684,mot,-0.99508625,-0.68810993,for,-0.008274122,-9.007267
179,116561,for,-1.6882126e-05,-15.81995,mot,-2.4406407,-0.09384464,for,-3.655073e-05,-16.695705
180,116562,for,-9.133887e-06,-16.625677,mot,-3.6886911,-0.053063504,for,-3.7385154e-05,-15.654407
181,116588,for,-0.0001975802,-10.529073,for,-0.3546421,-1.2362683,for,-0.0034120353,-5.910885
182,116596,for,-0.00019173922,-9.914992,for,-0.23436825,-1.598771,for,-0.0007085018,-8.926509
183,116597,for,-0.0036254856,-11.157904,for,-0.20659837,-1.8550302,for,-0.003482705,-12.211887
184,116604,for,-0.0003920656,-15.409343,for,-0.6317204,-0.8233174,for,-0.0040331646,-10.808898
185,116605,for,-4.978234e-05,-15.623539,for,-0.18325938,-2.0166907,for,-7.5411124e-05,-14.238517
186,116629,for,-6.7662884e-05,-15.652478,for,-0.0018679487,-6.7441506,for,-0.00013715129,-14.573824
187,1166511,for,-0.0012126144,-7.5511565,mot,-1.1523443,-0.40533125,for,-0.10698157,-2.3682692
188,1167316,for,-0.07254087,-2.661736,mot,-8.296887,-0.009121468,mot,-3.1383767,-0.045731172
189,1167317,for,-0.018856073,-3.9940033,mot,-7.6811934,-0.0072833574,mot,-1.1253523,-0.39672604
190,1167318,for,-0.00010831134,-17.962906,for,-0.27990103,-1.4341369,for,-9.960947e-05,-13.502079
191,1167319,for,-0.00067430874,-14.161321,for,-0.01020471,-6.3759255,for,-0.00011176824,-14.542327
192,1167320,for,-0.0009101523,-12.095793,for,-0.5349068,-0.92224735,for,-0.0010430516,-7.4978404
193,1167415,for,-0.0010641286,-7.5632896,for,-0.45361072,-1.0496571,for,-0.031078149,-3.5838144
194,1167512,for,-0.0002879146,-14.409107,mot,-1.3746251,-0.4194592,for,-0.001057699,-9.735721
195,1167513,for,-0.0001626572,-12.114285,for,-0.08983063,-2.549906,for,-0.0031213874,-7.6794233
196,1167514,for,-0.00013512482,-10.971319,mot,-4.4351053,-0.012890656,for,-0.094855,-2.4055393
197,1167611,for,-9.877504e-05,-10.106228,mot,-2.1071832,-0.13957773,for,-0.06195939,-2.8399212
198,1167710,for,-0.00049643667,-14.582112,mot,-3.3389862,-0.25868484,for,-0.00092253846,-9.581927
199,116789,for,-0.08308035,-2.5370178,for,-0.090404704,-2.6408007,for,-0.0014411847,-7.0446177
200,116791,for,-1.7954959e-05,-14.502917,for,-0.0002226093,-9.750232,for,-8.0656086e-05,-13.785409
201,116792,for,-0.004359383,-15.232102,for,-0.18637927,-2.047158,for,-0.009267585,-13.299105
202,116793,for,-0.0001624188,-13.370522,for,-0.11562546,-2.2484226,for,-0.0004071971,-12.886184
203,116794,for,-8.542423e-05,-14.835417,for,-0.010141696,-5.5783086,for,-0.0007188652,-12.636129
204,116795,for,-0.00029184466,-15.663031,for,-0.0108781485,-6.0280366,for,-0.0005156211,-14.963449
205,116796,for,-0.013985439,-4.468089,mot,-0.963055,-0.48748434,for,-0.15987764,-1.9204139
206,116797,for,-0.0009882692,-7.4546666,for,-0.22382207,-1.7134728,for,-0.0073938905,-8.761809
207,116798,for,-5.240482e-05,-10.682008,for,-0.116072856,-2.226539,for,-0.0006522707,-7.4846306
208,116880,for,-0.001893295,-6.3741336,mot,-1.0221822,-0.4495084,for,-0.13838956,-2.048111
209,1169118,for,-0.00060224184,-13.759137,for,-0.13299505,-2.1823,for,-0.00017922651,-10.604925
210,1169119,for,-0.0002226093,-11.549552,for,-0.10565428,-2.4629846,for,-0.0010681779,-7.376274
211,1169120,for,-0.0062808213,-5.1044426,mot,-1.4228159,-0.27765903,for,-0.16987526,-1.8612815
212,1169217,for,-0.0013319061,-9.458138,for,-0.5741772,-0.8730702,for,-0.0036839247,-8.80358
213,1169313,for,-0.033381477,-4.0152426,for,-0.004636484,-8.420736,for,-0.0003825293,-9.921527
214,1169411,for,-0.0006782424,-14.498193,for,-0.04135921,-6.758681,for,-0.005462255,-11.441959
215,1169412,for,-0.00019769941,-12.23162,for,-0.086543344,-3.5482647,for,-0.00027206415,-10.898036
216,1169414,for,-0.0043768366,-6.3390155,for,-0.17390801,-2.074928,for,-0.0059529752,-7.3289146
217,1169415,for,-0.0011149737,-9.365687,for,-0.021280877,-5.8219,for,-0.014733011,-9.000083
218,116958,for,-0.0019262559,-6.3745365,mot,-2.0747404,-0.18638907,for,-0.19713952,-1.7407606
219,116959,for,-6.647085e-05,-13.556061,for,-0.5464699,-0.96819997,for,-0.0012364184,-10.973799
220,1169510,for,-0.00013870094,-9.638276,for,-0.5059278,-0.92539954,for,-0.0031623917,-5.8190117
221,116967,for,-0.001701245,-7.6159286,for,-0.1168297,-2.3115356,for,-0.010449531,-4.786582
222,116971,for,-0.016013369,-7.426488,for,-0.70232594,-0.7553731,for,-0.018323893,-4.9382915
223,116972,for,-0.00056208856,-12.313735,for,-0.028858645,-3.7984738,for,-0.0006492906,-9.830512
224,116973,for,-1.7716551e-05,-16.866505,for,-0.05188482,-3.406356,for,-0.0004548639,-14.04075
225,116974,for,-0.00055255595,-9.439212,for,-0.55350137,-0.98780847,for,-0.0030670762,-6.8238926
226,116976,for,-0.010708559,-4.600453,for,-0.12482938,-2.154954,for,-0.08000967,-2.5690958
227,117000,for,-0.00060402625,-12.304818,for,-0.032880634,-3.7071855,for,-0.0011515288,-11.905326
228,117112,for,-0.0004295964,-10.706997,for,-0.116327785,-2.408011,for,-0.0042676274,-9.261073
229,117121,for,-0.00029625517,-11.984223,for,-0.42005414,-1.0924327,for,-0.003288467,-5.947178
230,1171421,for,-0.00056494575,-9.800587,for,-0.2371116,-1.6504035,for,-0.00041136926,-10.730842
231,1171517,for,-0.0018336803,-6.619195,for,-0.04563119,-3.1351736,for,-0.005173397,-5.290198
232,1171519,for,-0.022497794,-3.8240669,mot,-2.196406,-0.11898284,for,-0.11017962,-2.265844
233,1171616,for,-0.0004038594,-12.444257,for,-0.35216707,-1.3362637,for,-0.0036513912,-8.662908
234,1171618,for,-0.00010247036,-16.33839,mot,-0.81203675,-0.5930693,for,-0.00044759247,-13.024951
235,1171620,for,-0.00010247036,-13.7972555,for,-0.02422244,-4.737359,for,-0.00064952904,-10.238805
236,1171715,for,-0.002458772,-12.773256,mot,-1.9493845,-0.18033385,for,-0.00049953593,-10.099291
237,117189,for,-0.008440348,-7.3613477,for,-0.15641144,-3.4551575,for,-0.029591719,-10.476176
238,1171810,for,-9.6629374e-05,-10.511817,for,-0.17320521,-1.8609341,for,-0.00076222233,-7.5750093
239,117196,for,-0.005521766,-5.220377,for,-0.3844296,-1.1495053,for,-0.37455925,-1.1686
240,117197,for,-0.00020222914,-10.315098,for,-0.037249558,-3.4147558,for,-0.0030093156,-7.9076324
241,117198,for,-0.07649358,-2.6113255,for,-0.124829166,-2.1495101,mot,-0.7566846,-0.6352933
242,1171912,for,-0.00050847256,-14.042129,for,-0.05949442,-4.3168073,for,-0.0028439835,-8.059757
243,1172011,for,-0.0020382027,-7.6611967,for,-0.4130882,-1.2005638,for,-0.023693215,-3.8175776
244,1172013,for,-0.00050156243,-14.998785,for,-0.013574162,-6.529445,for,-0.00022082125,-16.410627
245,1172014,for,-0.0005927092,-10.034536,for,-0.080012746,-2.847938,for,-0.002877511,-7.2269034
246,117214,for,-0.18495584,-1.7792666,mot,-1.3524687,-0.3001501,for,-0.47438106,-0.9739882
247,117215,for,-0.4332773,-1.0470011,mot,-1.6552862,-0.21328488,mot,-1.4787767,-0.25972146
248,117223,for,-0.00014656837,-10.649107,for,-0.35425752,-1.2162228,for,-0.002911266,-5.908831
249,117231,for,-0.14682832,-1.99289,mot,-2.7028852,-0.07224715,mot,-2.5660605,-0.08234175
250,1172423,for,-0.0022193687,-6.1592665,for,-0.26409703,-1.4754121,for,-0.14690766,-1.9992121
251,1172522,mot,-0.7789835,-0.61483324,mot,-4.515961,-0.012049233,mot,-6.002393,-0.0044849506
252,117273,for,-0.00236649,-6.1236415,for,-0.2314331,-1.5931809,for,-0.5696451,-0.8351099
