Unnamed: 0,id,gpt-4o-mini_category
204,1558571,Næring
205,1558574,Justis
206,1558675,Justis
207,1558772,Helse og omsorg
208,1558876,Helse og omsorg
209,1558977,Justis
210,1559067,Arbeid og sosial
211,1559166,Arbeid og sosial
212,1559263,Arbeid og sosial
213,1559264,Finans
214,1559365,Finans
215,155948,Arbeid og sosial
216,1559673,Helse og omsorg
217,1559762,Justis
218,1559845,Næring
219,162577,Arbeid og sosial
220,162583,Arbeid og sosial
221,162598,Helse og omsorg
222,162605,Arbeid og sosial
223,162606,Arbeid og sosial
224,162612,Familie og kultur
225,162614,Utenriks og forsvar
226,162621,Utdanning og forskning
227,1638814,Helse og omsorg
228,1638816,Utenriks og forsvar
229,1638915,Helse og omsorg
230,163905,Helse og omsorg
231,163906,Helse og omsorg
232,163917,Helse og omsorg
233,163918,Arbeid og sosial
234,163919,Helse og omsorg
235,1639110,Helse og omsorg
236,1639111,Helse og omsorg
237,1639312,Helse og omsorg
238,1639313,Helse og omsorg
239,163941,Helse og omsorg
240,163952,Helse og omsorg
241,163954,Helse og omsorg
242,1670717,Finans
243,164271,Næring
244,164272,Kommunal og forvaltning
245,1769322,Energi og miljø
246,1769323,Energi og miljø
247,1769424,Energi og miljø
248,1769525,Energi og miljø
249,1769526,Energi og miljø
250,1769627,Transport og kommunikasjon
251,1769728,Transport og kommunikasjon
252,1769829,Transport og kommunikasjon
253,1769830,Energi og miljø
254,176991,Arbeid og sosial
255,177002,Energi og miljø
256,177013,Kommunal og forvaltning
257,177024,Kommunal og forvaltning
258,177047,Helse og omsorg
259,177058,Arbeid og sosial
260,177069,Justis
261,1770610,Utenriks og forsvar
262,1770711,Energi og miljø
263,1770712,Justis
264,1770817,Justis
265,1770918,Helse og omsorg
266,1771121,Energi og miljø
267,1771214,Energi og miljø
268,1771315,Helse og omsorg
269,177146,Helse og omsorg
270,179912,Utenriks og forsvar
271,179913,Justis
272,179914,Utenriks og forsvar
273,179915,Utenriks og forsvar
274,186333,Utenriks og forsvar
275,186342,Arbeid og sosial
276,186351,Arbeid og sosial
277,194531,Helse og omsorg
278,194543,Helse og omsorg
279,194554,Helse og omsorg
280,194565,Utenriks og forsvar
281,194576,Utdanning og forskning
282,194587,Utdanning og forskning
283,194598,Næring
284,1945913,Kommunal og forvaltning
285,194609,Helse og omsorg
286,1946110,Energi og miljø
287,1946211,Energi og miljø
288,1946312,Energi og miljø
289,1946414,Energi og miljø
290,1946515,Utdanning og forskning
291,1946520,Justis
292,1946617,Næring
293,1946718,Finans
294,1946819,Utenriks og forsvar
295,1946921,Utenriks og forsvar
296,1947022,Arbeid og sosial
297,1947123,Helse og omsorg
298,1947224,Arbeid og sosial
299,1947325,Næring
300,1947426,Finans
301,1947427,Arbeid og sosial
302,1947528,Justis
303,1947629,Justis
304,1947731,Helse og omsorg
305,1947834,Næring
306,1947835,Næring
307,1947836,Transport og kommunikasjon
308,1947937,Utenriks og forsvar
309,1948032,Helse og omsorg
310,194812,Helse og omsorg
311,214611,Helse og omsorg
312,214622,Justis
313,214633,Energi og miljø
314,214635,Finans
315,214636,Utdanning og forskning
316,214644,Energi og miljø
317,214657,Helse og omsorg
318,214658,Familie og kultur
319,214659,Arbeid og sosial
320,2146510,Helse og omsorg
321,2146611,Kommunal og forvaltning
322,2146615,Kontroll og konstitusjon
323,2146618,Finans
324,2146712,Arbeid og sosial
325,2146716,Arbeid og sosial
326,2146813,Finans
327,2146914,Justis
328,2147017,Justis
329,2147119,Justis
330,2147220,Transport og kommunikasjon
331,2147321,Finans
332,2147422,Helse og omsorg
333,2147523,Energi og miljø
334,2147624,Energi og miljø
335,2147725,Energi og miljø
336,2147826,Helse og omsorg
337,2147927,Helse og omsorg
