,id,gpt-4o-mini_vote,gpt-4o-mini_for_lprob,gpt-4o-mini_against_lprob
48,115001,for,-0.00015908108616713434,-13.50015926361084
49,115002,for,-0.00013786651834379882,-15.250138282775879
50,115015,for,-0.00019007037917617708,-12.250189781188965
51,115020,for,-0.00018006093159783632,-15.0001802444458
52,115030,for,-0.00010902655776590109,-12.75010871887207
53,115031,for,-6.492120155598968e-05,-16.875064849853516
54,115032,for,-0.00015860427811276168,-15.875158309936523
55,115033,for,-0.00010771531378850341,-16.625106811523438
56,115034,for,-0.00011212585377506912,-14.375112533569336
57,115035,for,-8.470901229884475e-05,-14.37508487701416
58,1150513,for,-0.0032803830690681934,-5.753280162811279
59,1150514,mot,-5.00692081451416,-0.006920915096998215
60,1150612,for,-0.00014716439181938767,-14.875146865844727
61,1150710,for,-0.0003442832676228136,-10.500344276428223
62,115087,for,-0.00010843054042197764,-17.00010871887207
63,115091,for,-0.00012213163427077234,-15.3751220703125
64,115092,for,-7.684157026233152e-05,-12.875077247619629
65,115093,for,-0.00010330478107789531,-15.375102996826172
66,115094,for,-0.00014299227041192353,-13.125143051147461
67,115095,for,-7.862962229410186e-05,-15.500078201293945
68,115096,for,-0.00010330478107789531,-15.250102996826172
69,115098,for,-8.256334695033729e-05,-17.25008201599121
70,115099,for,-0.00011844364780699834,-16.875118255615234
71,1151015,mot,-5.379793167114258,-0.0047929915599524975
72,1151111,for,-0.0002953015500679612,-10.875295639038086
73,115120,for,-0.00011546355381142348,-13.500115394592285
74,115130,for,-0.014391143806278706,-4.26439094543457
75,115140,for,-0.1605713963508606,-1.9105713367462158
76,115184,for,-0.00017600801947992295,-10.625176429748535
77,115195,for,-0.000718030845746398,-7.375718116760254
78,115203,for,-0.00015121731848921627,-9.250151634216309
79,115216,for,-0.00012451570364646614,-13.00012493133545
80,115217,for,-9.078839502763003e-05,-14.000090599060059
81,115221,for,-7.517272024415433e-05,-13.125075340270996
82,115232,for,-0.0005544631858356297,-9.625554084777832
83,115240,for,-8.280175097752362e-05,-15.000082969665527
84,115430,for,-0.0004273315134923905,-13.50042724609375
85,115392,for,-0.00012166214582975954,-12.6251220703125
86,115400,for,-0.0001382241171086207,-16.250137329101562
87,115420,for,-0.00013774730905424803,-16.125137329101562
88,115446,for,-0.0001049736310960725,-14.250104904174805
89,115455,for,-0.00010676169040380046,-12.875106811523438
90,115464,for,-0.00016420685278717428,-11.375164031982422
91,115473,for,-0.00014096579980105162,-12.125141143798828
92,115482,for,-0.0010220900876447558,-8.126022338867188
93,115491,for,-6.504040356958285e-05,-12.500064849853516
94,115520,mot,-3.288271903991699,-0.03827202320098877
95,115532,for,-0.00014525714504998177,-15.625144958496094
96,115550,for,-6.575563020305708e-05,-16.375064849853516
97,1156824,for,-0.00042090186616405845,-9.500420570373535
98,1156914,for,-0.00015872348740231246,-12.875158309936523
99,1156918,for,-0.0048418655060231686,-5.3798418045043945
100,1156919,for,-0.00017553119687363505,-14.125175476074219
101,1156922,for,-0.0001261845463886857,-15.250125885009766
102,1157020,for,-0.16044661402702332,-1.9104466438293457
103,1157021,for,-8.172891830326989e-05,-14.375082015991211
104,1157115,for,-0.00028052396373823285,-11.875280380249023
105,1157216,for,-0.00013035668234806508,-15.375130653381348
106,1157217,for,-0.00046045915223658085,-7.875460624694824
107,1157427,for,-0.00030948311905376613,-9.375309944152832
108,1157610,for,-0.0004092235758434981,-9.125409126281738
109,1157711,for,-0.00043674863991327584,-9.750436782836914
110,115796,for,-0.002527979901060462,-6.002528190612793
111,115797,for,-0.12723392248153687,-2.1272339820861816
112,115803,for,-0.0003024537581950426,-8.5003023147583
113,115818,mot,-10.250203132629395,-0.00020306356600485742
114,115822,for,-7.886803359724581e-05,-13.625079154968262
115,115824,for,-9.913265239447355e-05,-15.125099182128906
116,115825,for,-0.002891417359933257,-5.877891540527344
117,1158325,for,-0.00013917774776928127,-14.875139236450195
118,115850,for,-0.00011725161311915144,-11.875117301940918
119,115860,mot,-4.264666557312012,-0.014666754752397537
120,115870,for,-0.0004228091274853796,-8.625422477722168
121,115940,for,-0.0001129602751461789,-15.875112533569336
122,115950,for,-8.327856630785391e-05,-17.750083923339844
123,115960,for,-0.0001652796781854704,-10.750164985656738
124,115961,for,-0.00012118533049942926,-16.1251220703125
125,116033,for,-0.00011331788846291602,-14.125113487243652
126,116034,for,-9.758300438988954e-05,-16.625097274780273
127,116035,for,-0.00011307948443572968,-14.000113487243652
128,116036,for,-0.0001238004770129919,-14.125123977661133
129,116042,for,-0.00015717383939772844,-14.250157356262207
130,116050,for,-0.00013512482109945267,-13.25013542175293
131,116061,for,-0.00012047011114191264,-14.250120162963867
132,116072,for,-0.00011236425780225545,-16.000112533569336
133,116073,for,-0.0068169585429131985,-5.006816864013672
134,116081,for,-0.00010413920972496271,-13.875103950500488
135,116090,for,-0.00011737081513274461,-15.375117301940918
136,116091,for,-0.00011617878044489771,-12.125116348266602
137,116092,for,-0.00016337241686414927,-16.875164031982422
138,116093,for,-0.00013655527436640114,-15.625136375427246
139,116094,for,-0.00028135839966125786,-12.62528133392334
140,116131,for,-8.73314929776825e-05,-13.62508773803711
141,116142,for,-6.551721889991313e-05,-16.125064849853516
142,116153,for,-6.0868278524139896e-05,-14.25006103515625
143,116193,for,-6.217951886355877e-05,-16.250062942504883
144,116194,for,-6.480199954239652e-05,-15.875064849853516
145,116211,for,-0.00010044389637187123,-14.000100135803223
146,116212,for,-0.00029470553272403777,-12.00029468536377
147,116280,for,-0.00024168188974726945,-9.37524127960205
148,116314,for,-0.5761139988899231,-0.8261139988899231
149,116315,for,-0.31344157457351685,-1.313441514968872
150,116316,for,-0.12712600827217102,-2.1271259784698486
151,116327,for,-0.003818725934252143,-5.628818511962891
152,116330,for,-0.20164409279823303,-1.7016440629959106
153,116331,mot,-3.2881999015808105,-0.03819996863603592
154,116332,for,-0.06238115578889847,-2.8123812675476074
155,1163615,for,-0.0001454955490771681,-14.87514591217041
156,1163616,for,-0.00014120421838015318,-13.625141143798828
157,1163617,for,-0.00019305046589579433,-12.500192642211914
158,1163714,for,-0.00014060820103622973,-13.375140190124512
159,116389,for,-0.0001996066712308675,-14.375199317932129
160,1163810,for,-0.00011856284982059151,-13.500118255615234
161,1163811,for,-0.00010998018842656165,-14.125109672546387
162,1163812,for,-0.0001387009397149086,-11.875138282775879
163,1163813,for,-0.00016599490481894463,-13.250165939331055
164,116396,for,-0.20170189440250397,-1.7017018795013428
165,116397,for,-0.0001863750658230856,-11.2501859664917
166,116398,for,-7.44574936106801e-05,-14.75007438659668
167,116401,for,-0.0003382038848940283,-8.750338554382324
168,116402,for,-0.0003131784324068576,-8.625312805175781
169,116404,for,-0.000146687583765015,-12.500146865844727
170,116405,for,-0.00024263552040793002,-9.750242233276367
171,116521,for,-0.0034483722411096096,-5.753448486328125
172,116522,for,-0.0030267906840890646,-5.878026962280273
173,116523,for,-0.00012356207298580557,-14.625123977661133
174,116535,for,-0.0003765727742575109,-16.375375747680664
175,116536,for,-0.00017827287956606597,-12.250178337097168
176,116537,for,-6.24179228907451e-05,-14.375061988830566
177,116543,for,-9.519893501419574e-05,-16.62509536743164
178,116544,for,-0.000133098365040496,-13.750133514404297
179,116561,for,-0.00012190054985694587,-17.0001220703125
180,116562,for,-5.5027299822540954e-05,-17.50005531311035
181,116588,for,-0.0003005464968737215,-9.250300407409668
182,116596,for,-0.00038527094875462353,-10.000385284423828
183,116597,for,-0.0001239196863025427,-15.250123977661133
184,116604,for,-0.0001410850090906024,-14.000141143798828
185,116605,for,-0.00013786651834379882,-16.500137329101562
186,116629,for,-4.453737710718997e-05,-15.500044822692871
187,1166511,for,-0.0018830618355423212,-6.501883029937744
188,1167316,for,-0.2015095353126526,-1.7015094757080078
189,1167317,for,-0.008695407770574093,-4.758695602416992
190,1167318,for,-6.76628842484206e-05,-16.62506675720215
191,1167319,for,-7.910643762443215e-05,-15.125079154968262
192,1167320,for,-0.004189875442534685,-5.504189968109131
193,1167415,mot,-1.9105027914047241,-0.16050276160240173
194,1167512,for,-0.0001310719089815393,-13.000130653381348
195,1167513,for,-6.957014556974173e-05,-11.250069618225098
196,1167514,mot,-4.758732318878174,-0.00873216800391674
197,1167611,for,-0.4742690324783325,-0.9742690324783325
198,1167710,for,-0.00010998018842656165,-13.875109672546387
199,116789,for,-7.302704761968926e-05,-14.375073432922363
200,116791,for,-0.0001463299704482779,-16.375146865844727
201,116792,for,-0.0016826784703880548,-7.001682758331299
202,116793,for,-0.0008105786982923746,-8.000810623168945
203,116794,for,-0.0004216170927975327,-12.750421524047852
204,116795,for,-9.9728669738397e-05,-18.250099182128906
205,116796,for,-0.0006230841390788555,-7.6256232261657715
206,116797,for,-0.0009755438077263534,-7.250975608825684
207,116798,for,-0.10037068277597427,-2.3503706455230713
208,116880,for,-0.00010616567305987701,-11.250105857849121
209,1169118,for,-0.00020020268857479095,-14.625200271606445
210,1169119,for,-0.0001721934968372807,-16.125171661376953
211,1169120,mot,-3.5300073623657227,-0.030007457360625267
212,1169217,for,-0.0003570343542378396,-8.500356674194336
213,1169313,for,-6.289473822107539e-05,-16.125062942504883
214,1169411,for,-0.0019486293895170093,-6.626948833465576
215,1169412,for,-0.00011021859245374799,-13.250110626220703
216,1169414,for,-0.003000762080773711,-5.878000736236572
217,1169415,for,-0.0033797146752476692,-5.753379821777344
218,116958,for,-0.00015478975547011942,-11.125154495239258
219,116959,for,-0.0002302383363712579,-11.250229835510254
220,1169510,for,-9.364928700961173e-05,-13.375093460083008
221,116967,for,-0.00023512568441219628,-10.375235557556152
222,116971,for,-0.0003121056070085615,-9.250311851501465
223,116972,for,-0.3870377838611603,-1.137037754058838
224,116973,for,-0.5762912034988403,-0.8262912034988403
225,116974,for,-0.00016873658751137555,-14.000168800354004
226,116976,for,-0.0001317871210630983,-10.500131607055664
227,117000,for,-9.329167369287461e-05,-15.875093460083008
228,117112,for,-0.00048644188791513443,-9.625486373901367
229,117121,for,-0.0004183986166026443,-9.125418663024902
230,1171421,for,-0.00017708084487821907,-9.750177383422852
231,1171517,for,-0.00020377879263833165,-11.750204086303711
232,1171519,for,-0.0034607292618602514,-5.753460884094238
233,1171616,for,-0.00011737081513274461,-15.375117301940918
234,1171618,for,-5.073596548754722e-05,-14.12505054473877
235,1171620,for,-0.00013929695705883205,-13.500139236450195
236,1171715,for,-0.0001234428636962548,-14.000123023986816
237,117189,for,-0.00016098834748845547,-14.250161170959473
238,1171810,for,-0.00017958412354346365,-9.875179290771484
239,117196,for,-0.005582944490015507,-5.255582809448242
240,117197,for,-0.005697573069483042,-5.255697727203369
241,117198,mot,-4.51122522354126,-0.011225364170968533
242,1171912,for,-0.00042686203960329294,-9.12542724609375
243,1172011,for,-0.25217607617378235,-1.50217604637146
244,1172013,for,-0.00015908108616713434,-13.75015926361084
245,1172014,for,-0.00010807292710524052,-15.125107765197754
246,117214,for,-0.011116440407931805,-4.5111165046691895
247,117215,for,-0.07914677262306213,-2.5791468620300293
248,117223,for,-0.0009021693258546293,-7.37590217590332
249,117231,mot,-6.626479148864746,-0.0014791482826694846
250,1172423,for,-0.018379369750618935,-4.018379211425781
251,1172522,mot,-12.375237464904785,-0.00023774817236699164
252,117273,for,-0.04875688627362251,-3.0487568378448486
253,117282,for,-9.496052371105179e-05,-12.25009536743164
254,117294,for,-0.0003178273618686944,-13.875317573547363
255,117305,for,-0.0004778592265211046,-11.62547779083252
256,1173313,for,-0.00011009939044015482,-13.500109672546387
257,1173515,for,-0.00016206118743866682,-13.875162124633789
258,1173614,for,-0.0001617035741219297,-11.625162124633789
259,117380,for,-0.00011248346709180623,-15.250112533569336
260,117390,for,-6.694766489090398e-05,-14.250066757202148
261,117391,for,-0.0007800845778547227,-7.25078010559082
262,1174315,mot,-2.12713885307312,-0.1271389126777649
263,1174410,mot,-7.126020908355713,-0.0010207825107499957
264,1174512,mot,-9.75019359588623,-0.000193527273950167
265,1174613,mot,-11.000154495239258,-0.00015467056073248386
266,117478,for,-0.2018590271472931,-1.7018589973449707
267,117489,mot,-4.264621257781982,-0.014621175825595856
268,1174911,for,-0.00016563729150220752,-10.500165939331055
269,1175014,for,-0.00014358828775584698,-16.75014305114746
270,117511,for,-3.9888433093437925e-05,-17.00004005432129
271,1175216,for,-0.0008852534228935838,-7.625885486602783
272,117536,for,-0.0008782314253039658,-8.12587833404541
273,117537,for,-0.00014811802248004824,-16.00014877319336
274,117543,for,-0.00011450992315076292,-14.500114440917969
275,117552,for,-0.00013500562636181712,-14.75013542175293
276,117554,for,-0.00020592445798683912,-14.750205993652344
277,117555,for,-0.0002258277963846922,-10.625226020812988
278,1176613,for,-9.29340603761375e-05,-12.500092506408691
279,1176614,for,-7.946405094116926e-05,-16.000080108642578
280,1176712,for,-0.00012582694762386382,-13.625125885009766
281,1176811,for,-0.002952262759208679,-5.8779520988464355
282,1176910,for,-0.00014895245840307325,-11.75014877319336
283,117708,for,-0.003926299046725035,-5.6289262771606445
284,117709,for,-0.00010700009443098679,-13.750106811523438
285,117711,for,-0.00013452880375552922,-14.750134468078613
286,117712,for,-0.00019936825265176594,-11.250199317932129
287,117713,for,-0.00016110755677800626,-12.875161170959473
288,117714,for,-0.00011212585377506912,-14.375112533569336
289,117715,for,-0.00010628487507347018,-14.875105857849121
290,117716,for,-0.0003460712905507535,-10.875346183776855
291,117717,for,-0.0002523992152418941,-15.750252723693848
292,117761,for,-0.01442733034491539,-4.264427185058594
293,117762,for,-0.4743323028087616,-0.974332332611084
294,117782,for,-0.00014239625306800008,-11.875142097473145
295,117791,for,-0.0003404687449801713,-8.750340461730957
296,1186220,for,-0.00011284107313258573,-14.500112533569336
297,1186318,mot,-0.826388418674469,-0.576388418674469
298,118643,for,-0.000763287884183228,-7.375763416290283
299,118654,for,-0.0003258103388361633,-8.625326156616211
300,118655,for,-8.923874702304602e-05,-15.750089645385742
301,118659,for,-0.00013595925702247769,-11.750136375427246
302,1186511,for,-0.0003476209531072527,-8.375348091125488
303,1186512,for,-0.00014597235713154078,-11.50014591217041
304,1186513,for,-0.00014096579980105162,-11.000141143798828
305,1186515,for,-6.76628842484206e-05,-16.37506675720215
306,1186614,for,-0.0001294030516874045,-14.750129699707031
307,118677,for,-4.9424725148128346e-05,-14.375049591064453
308,118686,for,-7.374227425316349e-05,-14.750073432922363
309,1186817,for,-0.00011927806917810813,-11.87511920928955
310,1186910,for,-0.0001713590754661709,-11.000171661376953
311,1186916,for,-0.0007352970424108207,-8.37573528289795
312,118702,for,-8.0536883615423e-05,-14.000080108642578
313,117951,for,-0.00029625516617670655,-9.500296592712402
314,118710,for,-8.709308167453855e-05,-14.125086784362793
315,118711,for,-0.1004548892378807,-2.350454807281494
316,1180632,for,-9.722539834911004e-05,-15.625097274780273
317,1180731,for,-0.0001382241171086207,-14.000138282775879
318,1180830,for,-0.00017362393555231392,-15.000173568725586
319,1180928,for,-0.10046296566724777,-2.3504629135131836
320,1180929,mot,-14.125130653381348,-0.00013035668234806508
321,1181027,mot,-9.00027084350586,-0.0002705145161598921
322,1181126,for,-8.387458365177736e-05,-15.250083923339844
323,1181225,for,-8.268254896393046e-05,-11.375082969665527
324,1181324,for,-9.65101717156358e-05,-12.375096321105957
325,1181423,for,-0.0002479886752553284,-9.375247955322266
326,1181522,for,-0.00020663968462031335,-15.87520694732666
327,1181621,for,-0.5761862993240356,-0.8261862993240356
328,118216,for,-0.00018697108316700906,-11.250186920166016
329,118225,for,-0.000940046738833189,-7.125939846038818
330,118234,for,-8.745069499127567e-05,-14.00008773803711
331,118243,for,-0.008713019080460072,-4.758713245391846
332,118252,for,-0.00012773419439326972,-16.1251277923584
333,118261,for,-0.00017970333283301443,-11.375179290771484
334,118279,for,-0.576537013053894,-0.826537013053894
335,118287,for,-0.0002736138121690601,-13.000273704528809
336,118288,for,-0.0004082699597347528,-8.250408172607422
337,118310,for,-0.00011129142512800172,-14.25011157989502
338,118320,for,-0.0001394161517964676,-16.875139236450195
339,118386,for,-6.12258882028982e-05,-15.87506103515625
340,118387,for,-6.670925358776003e-05,-15.375066757202148
341,118394,for,-9.341087570646778e-05,-11.125093460083008
342,118402,for,-0.0001310719089815393,-16.000131607055664
343,118403,for,-0.003059111535549164,-5.878058910369873
344,118441,for,-0.5763605833053589,-0.8263605833053589
345,118442,for,-0.00010223194840364158,-14.625102043151855
346,118443,for,-7.898723561083898e-05,-15.250079154968262
347,118453,for,-0.00010354319238103926,-12.500103950500488
348,118454,for,-0.00010103991371579468,-16.00010108947754
349,118462,for,-0.6932759284973145,-0.6932759284973145
350,118475,mot,-1.3136811256408691,-0.31368106603622437
351,118491,for,-9.674858301877975e-05,-15.500096321105957
352,118737,for,-0.0022734852973371744,-6.1272735595703125
353,118746,mot,-4.018420219421387,-0.018420321866869926
354,118754,for,-9.662937372922897e-05,-15.000096321105957
355,118765,for,-0.00034833617974072695,-10.375348091125488
356,118772,for,-0.0001801801408873871,-11.8751802444458
357,118773,for,-0.00020711649267468601,-12.25020694732666
358,118781,for,-0.0005657802103087306,-8.000565528869629
359,118860,for,-0.00015467056073248386,-13.000154495239258
360,118861,for,-0.00010986098641296849,-12.000109672546387
361,118862,for,-0.00014883324911352247,-16.50014877319336
362,118863,for,-0.00031949623371474445,-9.500319480895996
363,118864,for,-0.0004156568902544677,-9.125415802001953
364,118865,for,-0.030213573947548866,-3.5302135944366455
365,118870,for,-0.00014323067443910986,-12.625143051147461
366,1189114,for,-0.002924706321209669,-5.877924919128418
367,1189115,for,-8.578184497309849e-05,-14.875085830688477
368,118928,for,-0.000229046301683411,-16.375228881835938
369,118929,for,-0.576298713684082,-0.826298713684082
370,1189210,for,-0.0026944358833134174,-6.002694606781006
371,1189216,for,-0.00562004279345274,-5.255620002746582
372,1189217,for,-0.1604752391576767,-1.910475254058838
373,118937,for,-0.0003066222125198692,-9.875307083129883
374,1189411,for,-0.008785806596279144,-4.758785724639893
375,1189412,for,-0.00014370749704539776,-14.625144004821777
376,1189413,for,-0.0002214172709500417,-11.750221252441406
377,118955,for,-0.00010998018842656165,-15.375109672546387
378,118956,for,-5.967624019831419e-05,-15.375060081481934
379,118964,for,-0.004248639103025198,-5.50424861907959
380,118971,for,-0.0003583456273190677,-8.625358581542969
381,118982,for,-0.00011009939044015482,-13.125109672546387
382,118993,for,-0.008745048195123672,-4.758745193481445
383,119000,for,-8.661626634420827e-05,-13.625086784362793
384,119002,for,-6.611323624383658e-05,-14.875065803527832
385,119003,for,-0.0003317705122753978,-8.62533187866211
386,119032,for,-0.0002777822664938867,-10.625277519226074
387,119070,mot,-1.9104483127593994,-0.1604483425617218
388,119080,for,-0.00015359772078227252,-13.000153541564941
389,119111,for,-0.00018458699923940003,-12.125185012817383
390,119112,for,-0.0001584850688232109,-10.625158309936523
391,119113,for,-0.00038134094211272895,-10.625381469726562
392,119114,for,-0.00023178798437584192,-10.750231742858887
393,119115,for,-0.00017445837147533894,-15.000174522399902
394,119116,for,-0.0001805377542041242,-10.5001802444458
395,119117,for,-0.00014799882774241269,-12.125147819519043
396,119118,for,-0.0001227276516146958,-11.750123023986816
397,119129,for,-0.00020103710994590074,-11.625201225280762
398,119141,for,-0.0003242607053834945,-13.750324249267578
399,119142,for,-0.0004832233826164156,-8.000483512878418
400,119220,for,-0.0001242772996192798,-11.250123977661133
401,119283,for,-8.93579563125968e-05,-13.500089645385742
402,119284,for,-0.001266301842406392,-6.7512664794921875
403,119285,for,-9.364928700961173e-05,-15.625093460083008
404,119286,for,-0.00010413920972496271,-14.375103950500488
405,119287,for,-0.005327912513166666,-5.2553277015686035
406,119288,for,-6.778209353797138e-05,-14.625067710876465
407,119289,for,-7.338466093642637e-05,-16.000072479248047
408,119291,for,-0.00016110755677800626,-11.125161170959473
409,119292,for,-0.00011117222311440855,-12.00011157989502
410,119373,for,-0.00012868782505393028,-12.750128746032715
411,119391,for,-8.661626634420827e-05,-13.750086784362793
412,119392,for,-9.674858301877975e-05,-14.375096321105957
413,119408,for,-0.0001830410328693688,-10.75018310546875
414,119417,mot,-7.50076150894165,-0.0007615071372129023
415,119424,for,-0.0001576506474521011,-12.875157356262207
416,119425,for,-0.00016611411410849541,-11.875165939331055
417,119426,for,-0.0001029471677611582,-15.875102996826172
418,119431,for,-0.0004883344518020749,-8.12548828125
419,119452,for,-8.482821431243792e-05,-16.875083923339844
420,119453,for,-0.00017648482753429562,-12.750176429748535
421,119466,for,-0.0001955537445610389,-11.000195503234863
422,119472,for,-0.00017708084487821907,-15.000177383422852
423,119475,for,-7.481510692741722e-05,-15.87507438659668
424,119480,for,-0.0001317871210630983,-14.750131607055664
425,119503,for,-0.00019817621796391904,-10.625198364257812
426,119504,for,-0.00012928384239785373,-14.250129699707031
427,1196815,for,-0.000467730569653213,-12.625467300415039
428,119691,for,-0.00016706773021724075,-12.500166893005371
429,119702,for,-6.20603168499656e-05,-16.500062942504883
430,119713,mot,-3.5298306941986084,-0.02983078546822071
431,119724,for,-0.011298679746687412,-4.511298656463623
432,1197211,for,-0.0003688245196826756,-11.62536907196045
433,119735,for,-0.2521596848964691,-1.5021597146987915
434,119738,for,-0.00012856863031629473,-14.750128746032715
435,119739,for,-0.0001721934968372807,-9.50017261505127
436,1197312,for,-0.0031367207411676645,-5.87813663482666
437,1197314,for,-0.00015276329941116273,-12.875152587890625
438,119746,mot,-2.5790634155273438,-0.07906351238489151
439,119757,for,-0.00018220659694634378,-13.500182151794434
440,1197513,for,-0.12702059745788574,-2.1270205974578857
441,119790,for,-0.00011975488450843841,-15.250120162963867
442,119802,for,-0.006867282558232546,-5.006867408752441
443,119803,for,-0.014615428633987904,-4.264615535736084
444,119811,for,-0.00017946491425391287,-10.500179290771484
445,119820,for,-0.00020210994989611208,-14.000202178955078
446,119860,for,-0.018402300775051117,-4.018402099609375
447,119970,for,-0.0002123614540323615,-11.375212669372559
448,119992,for,-9.925185440806672e-05,-10.750099182128906
449,120010,for,-0.00022070204431656748,-12.00022029876709
450,120022,for,-0.0001126026691053994,-16.625112533569336
451,120041,for,-0.00027301779482513666,-8.875272750854492
452,120052,for,-0.00010485442908247933,-13.625104904174805
453,120071,for,-0.00013357517309486866,-14.375133514404297
454,120111,for,-9.9728669738397e-05,-16.375099182128906
455,120180,for,-8.828512363834307e-05,-12.250088691711426
456,120193,for,-0.00016110755677800626,-16.250160217285156
457,120202,for,-0.00012582694762386382,-12.000125885009766
458,120214,for,-0.00018518301658332348,-9.875185012817383
459,120231,for,-0.00012654215970542282,-13.625126838684082
460,120244,for,-0.00013524403038900346,-10.37513542175293
461,120261,for,-0.0005698331515304744,-7.625569820404053
462,120262,for,-0.000988626852631569,-7.125988483428955
463,120263,for,-0.00016063073417171836,-9.250160217285156
464,120275,for,-7.755678961984813e-05,-15.375077247619629
465,120431,for,-0.5762853622436523,-0.8262853622436523
466,120432,for,-0.007047355640679598,-5.007047176361084
467,120443,for,-0.0003301016695331782,-14.625329971313477
468,120461,for,-0.00014036978245712817,-10.750140190124512
469,120462,for,-0.0007048065308481455,-7.625704765319824
470,120491,for,-0.000333320174831897,-10.375333786010742
471,120512,for,-0.5762350559234619,-0.8262350559234619
472,120513,mot,-4.264572620391846,-0.014572540298104286
473,1205216,for,-0.048835575580596924,-3.048835515975952
474,1205217,mot,-14.875350952148438,-0.00035060103982686996
475,1205218,for,-0.00012868782505393028,-13.875128746032715
476,1205219,for,-0.023436587303876877,-3.7734365463256836
477,1205220,for,-0.00012570773833431304,-15.500125885009766
478,1205312,for,-9.841743303695694e-05,-15.12509822845459
479,1205313,for,-8.661626634420827e-05,-13.500086784362793
480,1205314,for,-0.0001375089050270617,-14.500137329101562
481,1205315,for,-0.00011415231710998341,-14.500114440917969
482,120582,for,-0.003856251249089837,-5.628856182098389
483,120591,for,-0.002718329895287752,-6.002718448638916
484,120612,for,-0.00014168102643452585,-14.375142097473145
485,120613,for,-0.00012451570364646614,-14.37512493133545
486,120624,for,-0.00011367550177965313,-16.50011444091797
487,120625,for,-8.590104698669165e-05,-15.000085830688477
488,120641,for,-0.0001382241171086207,-17.250137329101562
489,1206612,for,-0.0001294030516874045,-11.250129699707031
490,1206711,for,-9.794061770662665e-05,-15.62509822845459
491,1206810,for,-0.00011272187111899257,-13.000112533569336
492,120699,for,-0.00011415231710998341,-14.750114440917969
493,120701,for,-0.00028993739397265017,-13.250289916992188
494,120702,for,-7.660315895918757e-05,-17.125076293945312
495,120703,for,-0.00011343709047650918,-15.750113487243652
496,120704,for,-0.00014919086243025959,-15.12514877319336
497,120705,for,-6.861651490908116e-05,-12.750068664550781
498,120706,for,-8.077528764260933e-05,-13.750081062316895
499,120707,for,-0.00012844942102674395,-15.750128746032715
500,120708,for,-7.827200897736475e-05,-16.000078201293945
501,1207113,for,-0.00014656837447546422,-12.125146865844727
502,120831,for,-9.960946772480384e-05,-13.000099182128906
503,120832,for,-0.00011355629976605996,-10.250113487243652
504,120833,for,-0.0002165299083571881,-17.37521743774414
505,120892,for,-0.00015014449309092015,-9.500149726867676
506,120911,for,-0.0003416607796680182,-8.750341415405273
