,id,gpt-4o-mini_translate
26,114812,"Ensure that the Prioritization Committee for municipal health and care services and dental health also provides suggestions on which reimbursement schemes should be prioritized, and the structure of these, if the reimbursement schemes are to be expanded with the aim of reaching more vulnerable groups."
27,114813,"Investigate a price cap for dental treatments that are fully or partially reimbursed by the public sector, where the reimbursement rates must be perceived as predictable for both patients and dental health professionals."
28,114814,"Investigate and return to the Storting with a proposal for an expansion of the public dental health service, where more groups are included in the public dental health service."
29,114821,"Come back to the Parliament with a separate case regarding the strengthening of Norwegian dental health, with the aim of reducing social inequality in dental health by helping those who need it the most. The Parliament requests that the case includes: a. proposals on how to strengthen preventive work for good public dental health b. a review of the reimbursement schemes in the dental health field c. proposals that will better assist those who currently do not have the financial means to undergo necessary dental treatment d. proposals for improvement and simplification of the reimbursement schemes through the National Insurance for specific diagnoses."
30,114848,"Come back to the Parliament with the proposals necessary to ensure that experiential competence and employees' salary and working conditions are secured when outsourcing all ambulance services, either through requirements for business transfer or equivalent obligations."
31,114849,Investigate public/non-profit operation of all ambulance services and report back to the Parliament in an appropriate manner.
32,114854,Ensure that health enterprises do not centralize or close down ambulance services.
33,114863,Present a action plan for better ambulance services in Norway.
34,114865,Ensure a maritime and medically sound ambulance boat tender for Lopphavet that also includes requirements for business transfer.
35,114866,"Ensure that the requirements for common emergency medical plans for municipalities and health enterprises, as well as regular training with other emergency services, are established in a future revised emergency medical regulation."
36,114867,"Evaluate the function, development, and financing of the emergency assistance scheme."
37,114872,"Regulate requirements for response time and base the national response times of 8, 12, and 25 minutes on the proposal from the Emergency Committee."
38,114881,"Ensure a maritime and medically sound ambulance boat tender in Lopphavet, where current experience and expertise are maintained, either through negotiations with providers, through a possible new tender round with requirements for business transfer in accordance with the provisions of the Working Environment Act, or in another suitable manner."
39,1148910,"Ensure that the investigation into public/non-profit operation of the air ambulance service, cf. decision 861 (Innst. 362 S (2017-2018)), adopted by a unanimous parliament, is completed no later than the end of the current parliamentary term, so that the Parliament can consider this before any new tender process is initiated or the existing contract is extended."
40,114900,Present a parliamentary report on pre-hospital services and the entire emergency medical chain based on NOU 2015:17 First and Foremost.
41,114914,Ensure that the 16 bed spaces in the rehabilitation department 2 East in Eigersund are maintained.
42,114921,"To strengthen the rehabilitation services for patients with COPD in both municipalities and health enterprises, and to ensure that health enterprises do not reduce their services before a corresponding offer has been established in the municipalities."
43,114922,Correct the geographical and regional differences in patients' access to specialized rehabilitation.
44,114933,Ensure that the municipalities in the region have the opportunity to build the necessary competence and capacity to take over the responsibility for the relevant patient group if the decision to close the rehabilitation department 2 East in Eigersund is upheld.
45,114970,"Ensure that the water management plans remain regional plans according to the Planning and Building Act, and that the planning processes follow the provisions of the Planning and Building Act."
46,114983,Regulatory requirements for occupational therapy and physiotherapy competence in nursing homes.
47,114994,"Initiate a mapping of the human rights situation in Norwegian nursing homes and home care services, where residents and users themselves, as well as their relatives, are also sources. The government is requested to report to the Storting in an appropriate manner."
48,115001,"Investigate a change in the Housing Bank's grant scheme for round-the-clock care places in nursing homes and care homes, so that the grant schemes can also include sheltered housing without round-the-clock care."
49,115002,"Take the initiative with the parties in the labor market to establish a collaboration for the creation of a pool of substitute teachers with permanent employees in the municipalities, possibly as a collaboration between neighboring municipalities."
50,115015,"Ensure that the planned grant scheme for the renovation, establishment, or re-establishment of local kitchens in nursing homes is investigated and presented during the first half of 2019, and that funds for the scheme are allocated in the proposal for the revised national budget."
51,115020,Investigate a separate grant scheme for positions that can ensure increased interdisciplinary competence and more volunteer work in Norwegian nursing homes and home care services.
52,115030,"Promote a proposal to include ""loneliness"" in the Public Health Act § 7."
53,115031,Stimulate the establishment of low-threshold mental health services for the elderly in several municipalities.
54,115032,Facilitate for municipalities and volunteer organizations to strengthen their work and initiatives so that the elderly and those living alone can have someone to share meals with.
55,115033,"Present a comprehensive national strategy for good diet and healthy nutrition for the elderly receiving services in nursing homes and home care, with proposals for specific, targeted measures."
56,115034,"Consider specific measures to strengthen the nutritional expertise and the systematic nutritional work in the health and care services, and report back to the Parliament in an appropriate manner."
57,115035,Promote your own case to the Storting regarding palliative care and follow-up of NOU 2017:16 On Life and Death – Palliative Care for the Seriously Ill and Dying.
58,1150513,Promote a proposal to amend the alcohol law in order to reduce the maximum serving time from 3:00 AM to 2:00 AM.
59,1150514,Propose a change in the law that ensures municipal sales and serving fees are set to a minimum of one percent of alcohol sales.
60,1150612,"Investigate whether there are groups that need an expanded information program related to the harmful effects of alcohol and other substances during pregnancy, and whether the national professional guidelines for maternity care are being adequately followed or need reinforcement."
61,1150710,Come back to the Parliament with proposals for measures that limit consumption-driven product information about alcohol.
62,115087,"Ensure that all pregnant women receive good information about the harm that alcohol consumption during pregnancy can cause to the child, including making sure that absolutely all pregnant women are informed about this during their prenatal check-ups."
63,115091,"Establish a public committee to assess the significant societal costs of alcohol for communities, the workforce, and individuals and their families."
64,115092,Initiate a collaboration with sports organizations to strengthen efforts to make sports an alcohol-free zone.
65,115093,"Invite the parties in the labor market to strengthen cooperation to increase awareness of attitudes towards alcohol in the workplace, to promote the value of alcohol-free environments, and to emphasize the need for choice and reduced alcohol pressure in work contexts."
66,115094,Promote a proposal to the Parliament to introduce requirements for labeling alcoholic beverages.
67,115095,"Introduce stronger measures against alcohol smuggling to Norway through better control mechanisms, including sufficient operational resources for enforcement work."
68,115096,Facilitate treatment options for entire families with alcohol problems.
69,115098,"To ensure that pregnant women with substance dependence receive closer follow-up, and to ensure that there are enough places to meet the need for treatment and support for the women and children."
70,115099,Introduce a labeling system for alcoholic beverages with health warnings about alcohol consumption during pregnancy and in connection with driving.
71,1151015,"Reverse the expansion that was made to the duty-free scheme in 2014 from January 1, 2020."
72,1151111,Consider a reversal of the latest change to the tax-free quota based on an evaluation of how the quota affects Vinmonopolet's sales and its position as one of the most important alcohol policy instruments.
73,115120,"Promote a national alcohol strategy for the Parliament, which outlines how the alcohol policy goals of reducing alcohol consumption will be achieved."
74,115130,"Not to make changes to the point system, but to ensure that the evaluation is expedited, if possible."
75,115140,"Assume that the maximum number of points before revocation of the license should be eight, not twelve."
76,115184,Present a plan for the escalation of public and non-profit ownership and operation to ensure that kindergartens are run by public or non-profit entities.
77,115195,"Introduce or promote necessary proposals to implement a requirement that when a kindergarten is sold, the new owner must reapply for funding."
78,115203,Introduce a reporting obligation and pre-emption right for the municipality in the sale of kindergartens and promote proposals for any necessary legal amendments to establish such rights and obligations.
79,115216,Promote the proposals necessary to adjust the pension subsidy for private kindergartens so that it corresponds to the actual pension costs incurred by the kindergartens.
80,115217,Change the regulations so that the entire pension subsidy received by private kindergartens is used in accordance with its purpose and benefits the employees in the kindergarten.
81,115221,Ensure that municipalities have the ability to impose the same requirements on private and public kindergartens.
82,115232,"Present a case for the introduction of a reporting obligation and pre-emption right for the municipality in the sale of kindergartens, including an assessment in relation to the provisions of the EEA Agreement, and propose any necessary legislative changes."
83,115240,Review the financing system for private and municipal kindergartens with the aim of supporting small and non-profit kindergartens and a diverse kindergarten sector.
84,115430,"Introduce a complaint option for decisions regarding compensation for psychological stress injuries resulting from participation in international operations after January 1, 2010, cf. the Defense Act § 55. Those who have served after January 1, 2010, shall be given the same complaint option as those who served before January 1, 2010, cf. the regulation on the complaints board for claims for compensation and ex gratia compensation for psychological stress injuries resulting from participation in international operations, and the complaints will be handled by a special board appointed by the Ministry of Defense. The government is requested to propose to the Storting the necessary legal and regulatory changes for such a complaint system to come into effect as soon as possible."
85,115392,"Propose the necessary legal and regulatory changes to introduce an appeal option for decisions regarding compensation for psychological stress injuries resulting from service in international operations after January 1, 2010."
86,115400,Establish a complaint system for veterans who have participated in international operations after 2010 and have incurred psychological injuries during these operations. Veteran organizations will be involved in the development of the structure of the complaint system. The establishment of such a complaint system is expected to be included in the mandate of the externally led working group set up by the Ministry of Defence.
87,115420,"Establish a defense commission to invite a broad public debate on changes in the security political landscape, Norway's role, and defense policy changes as a consequence of this."
88,115446,"Take the initiative to renegotiate the Urban Environment Package for Nord-Jæren, with the aim of increasing the focus on public transport, cycling, and walking, including ensuring that the planned bus route is made convertible to a light rail system."
89,115455,"Investigate alternative financing arrangements in the event of cost increases for national roads and bicycle highways in urban packages, also in cases where not all costs are covered by tolls."
90,115464,"Ensure that the state covers 70% of the investment costs for the ""Bus Road"" in the Urban Environment Package for North-Jæren."
91,115473,Clarify which other processes related to the Urban Environment Package for Nord-Jæren may require consideration in the Storting.
92,115482,"Initiate the renegotiation of the Urban Environment Package for Nord-Jæren and request that the renegotiation be completed by the end of 2018/2019. The renegotiations should explore a new model for the structure of the rush hour fee that will be less burdensome for the population. The consequences of the rush hour fee for residents and businesses must be investigated more thoroughly, and appropriate mitigating measures must be established."
93,115491,Take the initiative to test new technology/road pricing in the Nord-Jæren area.
94,115520,"Include a pilot project for the use of trains with fuel cells powered by emission-free hydrogen on at least one of the non-electrified railway lines in Norway – with the aim of operating on one of the lines by January 1, 2020."
95,115532,Consider starting a trial with hydrogen trains on a smaller scale to test whether the technology can be scaled up and used on the long routes that currently rely on diesel propulsion.
96,115550,"Ensure that new, emission-free, and autonomous ferries are considered as an independent option when planning the Ferry-free E39, alongside tunnels and bridges. Relevant factors for choosing a solution for the future E39 should include environmental considerations, cost, capacity, flexibility, and socio-economic benefits."
97,1156824,"Ensure that municipalities exclude child benefits from the calculation of social assistance, and allocate funds for compensation for this in the revised national budget for 2019."
98,1156914,Propose to increase the shipbuilding loan guarantee scheme for ships from shipyards in Norway by 2 billion kroner. It is assumed that the loan guarantees will only be used for the construction of ships with zero or low-emission technology.
99,1156918,Design a model for a tax on salmon lice in the aquaculture industry that provides an estimated revenue effect of 900 million kroner.
100,1156919,"Increase the maximum deduction in the tax incentive scheme for startup companies to 650,000 kroner per year."
101,1156922,Establish a national support scheme for the purchase of electric bicycles.
102,1157020,Incorporate into Enova's mandate a goal for full electrification of today's fish farms by 2023.
103,1157021,Present a plan for a gradual phasing out of current oil activities. The pace of the phase-out must be coordinated with the goal of achieving the climate agreement by 2020 and over a 40% reduction in total Norwegian emissions by 2030.
104,1157115,Establish a guarantee fund for renewable investments based on the existing developing country scheme in GIEK. A guarantee framework of 2 billion kroner is allocated in 2019.
105,1157216,Ensure that the Financial Supervisory Authority conducts a stress test of climate risk in Norwegian financial institutions.
106,1157217,Require all county municipalities to submit a climate budget for the budgets for 2020.
107,1157427,"Promote a proposal for a change in the law that is necessary to ensure that child benefits are excluded when calculating social assistance, and, in connection with the revised budget for 2019, propose to cover these costs through distribution to all municipalities via the municipal scheme."
108,1157610,"Adapt the negotiation mandate related to the negotiations for a CO2 fund for the freight transport sector to include a fund in line with the needs of the business community and based on the model of the NOx fund, so that the negotiations can be completed and the fund established and operational by 2019 in accordance with the previous decisions of the Parliament."
109,1157711,Ensure that the Storting is presented with the funding needs related to the establishment and administration of a CO2 fund for the freight transport sector in connection with the revised national budget for 2019.
110,115796,Investigate changes to the Value Added Tax Act that ensure healthcare professionals must include value added tax if they provide alternative treatment.
111,115797,"Investigate whether any of the members in the organizations currently registered in the register for alternative practitioners can be considered to provide health care, and return to the Parliament with a legislative proposal that allows them to be exempt from the Value Added Tax Act."
112,115803,"Investigate a fee that effectively excludes biofuels with a high deforestation risk (such as palm oil), and present a proposal in connection with the revised national budget in 2019, with an implementation date of July 1, 2019."
113,115818,The arrangement with neutral value-added tax in healthcare enterprises is being discontinued.
114,115822,Evaluate the ABE reform and report back to the Parliament in an appropriate manner.
115,115824,"Facilitate the free and easy disposal of marine waste in harbors through the ""Fishing for Litter"" scheme."
116,115825,"Investigate whether the municipal pension funds should be subject to taxation, and present the case to the Parliament in an appropriate manner."
117,1158325,Show how Norway's emission reductions to achieve at least a 40% reduction in the non-ETS sector by 2030 will take place in Norway.
118,115850,"Consider the establishment of a professional broadcasting orchestra in connection with NRK, which, modeled after the Broadcasting Orchestra, should have institutional prerequisites to conduct stable artistic activities at a high level."
119,115860,"Promote a proposal to remove the tax exemption for goods shipments from abroad of lower value (the 350-kroner limit) from January 1, 2020. In the design of the regulations, one must take into account the EU's adopted scheme with a tax-free limit, which is to be implemented from 2021."
120,115870,"Design a comprehensive proposal for measures and taxes in the biofuel policy to exclude biofuels with a high deforestation risk, both within and outside the blending mandate. These framework conditions are to be presented in connection with the state budget for 2020 and implemented from January 1, 2020."
121,115940,Develop and implement a comprehensive plan to ensure oversight and coordinated follow-up from the individual ministries regarding the recommendations from international monitoring bodies to Norway on human rights.
122,115950,"Develop a new overarching, cross-sectoral, as well as economically and temporally binding action plan against violence in close relationships. The action plan must reflect the special needs of vulnerable groups."
123,115960,Review the recommendations in the annual report for 2017 from Norway's National Institution for Human Rights and return to the Parliament in an appropriate manner regarding how the recommendations have been followed up.
124,115961,Ensure that the courts are organized and funded in a way that meets the requirements of citizens under the Constitution and the European Convention on Human Rights (ECHR) to have their cases resolved by the courts within a reasonable time.
125,116033,"Return to the Storting with a comprehensive review of public compensation schemes, which particularly examines which groups are not covered by the schemes, and assess how these should be included or encompassed by other arrangements."
126,116034,"Ensure that there is equal access to compensation for failures of the public sector towards a person who was a child when the failure occurred, regardless of where the person lives in the country, and if necessary, establish a national compensation scheme or a national framework for municipal schemes."
127,116035,"Return to the Parliament with a proposal to coordinate the regulations for compensation with the rules for statute of limitations in the Penal Code, so that claims for compensation do not expire before any potential prosecution."
128,116036,Ensure that the Storting's compensation scheme is better known and better informed about as a compensation scheme.
129,116042,Return to the Storting with a review of the various municipal and county compensation and restitution schemes to gain an overview of potentially problematic discriminatory treatment.
130,116050,Take the initiative with KS to develop a best practice recommendation for voluntary municipal and county compensation schemes.
131,116061,"Return to the Storting with a comprehensive review of public compensation schemes, which specifically examines which groups are not covered by the schemes and assesses whether they should be included."
132,116072,"Facilitate access to affordable legal aid and first-line legal assistance locally, for example through the establishment of local legal centers that can also offer multiple legal services under one roof."
133,116073,"Require the courts to actively determine, in each individual case, whether it has been ""reasonable to incur the costs"" when determining the legal costs."
134,116081,"Return to the Storting with measures to follow up on this in order to make the system better, more efficient, and more targeted."
135,116090,"Present a proposal for a new legal aid model that aligns with the assessments in Document 8:152 S (2017–2018), and that ensures better legal aid for more people by, among other things, expanding the scope of application, introducing graded co-payments, and raising the income threshold."
136,116091,Propose different models for annual discussions or negotiations between the state and the Norwegian Bar Association regarding the determination of the public fee rate.
137,116092,"Facilitate the strengthening of the expertise of the conciliation boards and conflict resolution boards, and enhance arrangements that contribute to increased use of mediation and conflict resolution outside of the courts."
138,116093,"Implement concrete measures to reduce legal costs, so that the risk of high legal expenses for ordinary people is minimized, including facilitating a more judge-led process."
139,116094,"Promote a case to the Parliament to raise the limit for small claims procedures and link the limit to the basic amount in the National Insurance Scheme, so that more cases can be processed as small claims."
140,116131,"""Return to the Parliament in an appropriate manner with a comprehensive presentation of how the instruments in Norwegian development and aid policy should be used to strengthen the partner countries' own capacity and ability to facilitate lasting, inclusive, sustainable growth and equitable distribution."""
141,116142,Ensure that the budget share for the least developed countries does not decrease and that efforts are increased to assist countries facing the greatest development challenges in sub-Saharan Africa.
142,116153,"Set demands on all partner countries for progress in the work for transparency, freedom of the press, freedom of expression, freedom of religion, and freedom of association."
143,116193,Contribute to enabling elite athletes to pursue education by developing more tailored study programs.
144,116194,"Ensure that educational institutions (universities, colleges, and vocational schools) develop more and tailored study programs."
145,116211,"Contribute to ensuring that elite athletes and other groups with special needs for customized study paths have the opportunity for tailored study plans, and that better arrangements are made for part-time students. The government is encouraged in this context to investigate a change in the requirement of 50% study load to receive educational support from the Norwegian State Educational Loan Fund."
146,116212,To allow elite athletes and others with special reasons to apply for educational support beyond eight years. This must be specifically justified and applied for at the Norwegian State Educational Loan Fund.
147,116280,Propose that the Boundary Act § 6 be amended to introduce a provision stating that matters concerning boundary adjustments shall be submitted to the Parliament for decision when there is disagreement between the affected municipalities.
148,116314,Promote the case for the repeal of the forced merger of Telemark and Vestfold counties.
149,116315,Promote the case for the repeal of the forced merger of Oppland and Hedmark counties.
150,116316,Promote the case for the repeal of the forced merger of Hordaland and Sogn og Fjordane counties.
151,116327,"Investigate the possibility of dividing Akershus into two and forming two counties on either side of the Oslofjord, and propose this if the counties of Akershus, Østfold, and Buskerud support it."
152,116330,Promote the case for the repeal of the merger of Troms and Finnmark counties.
153,116331,"Promote the case for the repeal of the merger of Østfold, Akershus, and Buskerud counties."
154,116332,"Facilitate the county councils in Hedmark, Oppland, Sogn og Fjordane, Hordaland, Vestfold, and Telemark to make decisions on whether they wish to repeal the approved county mergers. In cases where one or both county councils decide that they want the approved county mergers to be repealed, the government is requested to present a case to the Storting regarding the repeal of these county mergers."
155,1163615,"Come back with a report on the impact of digitalization on reading skills, reading experiences, language development, and language experience."
156,1163616,Come back with a review of how children's and young adult literature and the professional environments related to it can be strengthened.
157,1163617,Come back with a case about the future dissemination of children's and youth literature.
158,1163714,"Ensure that the Norwegian Cultural Heritage Fund establishes a dedicated program for climate measures in heritage buildings from before 1950, and request that the government, in the revised budget for 2019, returns to the Storting with a proposal for funding for the project."
159,116389,"Initiate a government preservation program for medieval stone churches aimed at restoring all Norwegian medieval churches by 2030, the 1000th anniversary of the Battle of Stiklestad."
160,1163810,Initiate a government conservation program for the protected wooden churches built before 1650 that are not included in the stave church program.
161,1163811,Initiate a government conservation program for historically significant churches built between 1650 and 1850.
162,1163812,Create a plan for how all counties/regions can have their own building preservation center under the auspices of local museums and/or volunteer cultural heritage organizations.
163,1163813,"To come back with a proposal for a scaling-up plan for the Norwegian Cultural Heritage Fund, so that the fund will have 300 million kroner available for distribution annually in the long term."
164,116396,To transform the incentive scheme for international film and TV productions into a rule-based system and place it under the Ministry of Trade and Fisheries.
165,116397,"Present an overview of how the changes in the cash support scheme have affected mothers' and fathers' labor participation during the period from August 1, 2018, to April 30, 2019."
166,116398,"Continue the reporting obligation for food chains, so that product information suitable for digital solutions is available."
167,116401,Consider reintroducing the Collection Register/Collection Control as a permanent measure under chapter 315 item 78 Various Permanent Measures.
168,116402,To make the arrangement for value-added tax compensation for the construction of sports facilities rule-based.
169,116404,Conduct an external evaluation of the gift enhancement scheme and report back to the Parliament in an appropriate manner.
170,116405,Propose to increase the size of the private copying compensation so that it aligns with the scope of the scheme.
171,116521,"Promote a proposal to establish a legal right to 100% VAT compensation or a 0% VAT rate for voluntary organizations, which should come into effect by the end of the parliamentary term 2017–2021."
172,116522,Develop a scaling plan for value-added tax compensation for voluntary organizations that achieves the goal of 100% compensation by the end of the parliamentary period 2017–2021.
173,116523,"Ensure the right to full VAT compensation for all expenses related to new construction, maintenance, and rehabilitation of organization-owned buildings and facilities used in voluntary activities."
174,116535,"Come back to the Parliament with a proposal for a designated increase in funding for municipal library operations over five years before the funding is included in the block grants to the municipalities. The increase should ensure that libraries have greater financial resources to provide what is required by the Public Library Act, and that they can maintain high activity levels and update themselves in response to the needs of the population."
175,116536,"Come back to the Storting with a proposal for the establishment of a common national digital media budget for the purchase of access to digital resources, which will be made available at the country's public libraries, school libraries, and research and university libraries."
176,116537,Ensure that proximity to the library is maintained when municipalities merge.
177,116543,"Increase the funding for and develop a plan for competence-raising measures for library staff, so that more libraries than today can offer active dissemination in literature, music, and film, as well as assist users with knowledge acquisition and search strategies in an increasingly complex information jungle."
178,116544,"Come back to the Parliament with a separate case regarding school libraries, including an investigation into a possible law on school libraries and a proposal to require municipalities to have a plan for school libraries."
179,116561,"Design a national library strategy that addresses task distribution and collaboration across administrative levels. The strategy should clarify the National Library's national responsibilities and propose a strengthening of the regional level. It should also examine collaboration between public libraries and school libraries and facilitate the further development of combined libraries. Additionally, it should consider how national reading initiatives can play a role in collaboration with libraries."
180,116562,"Ensure the continuation of a national initiative for the establishment of new library facilities, as well as the adaptation or expansion of existing library spaces and mobile library services, and continue to facilitate more open libraries throughout the country. This should contribute to making libraries more accessible, with locations where residents frequent, preferably in a multi-use concept alongside other cultural offerings."
181,116588,Promote legislation that ensures the qualification program has the same duration as the work assessment allowance.
182,116596,"Monitor the development in the number of participants in the qualification program closely, including whether there are significant differences in the offerings from municipality to municipality, and if necessary, return to the Parliament with a proposal to repeal § 29 third paragraph of the Act on Social Services in the Labor and Welfare Administration."
183,116597,Consider facilitating an opportunity to participate in a part-time qualification program.
184,116604,Investigate a government scheme that ensures financial security for those who have not accrued rights in the care benefit scheme. The government must return to the Storting with a proposal for such a scheme as soon as possible.
185,116605,"Ensure that the care allowance scheme is well known in the municipal and state support system, at all hospitals/health institutions, health stations, and among general practitioners, to ensure that written and verbal information about the scheme is provided proactively to all who need it."
186,116629,"Promote necessary proposals for amendments to the regulations governing care allowances to ensure improvements in the grading rules of the care allowance scheme. The amendments should ensure financial security for families by stipulating that care allowances should not be graded when the recipient cannot work due to circumstances related to the child's condition. This should apply when the child requires nighttime support due to their condition, which leads to the parents needing sleep and rest while the child is in a care arrangement. This should also apply when there is a need to be on standby while the child is under supervision and when the child's condition is so severe that work is not possible despite the child being supervised."
187,1166511,"Promote a proposal to make an exception to the National Insurance Act § 9-11 second paragraph first sentence when the person who has custody of the child is unable to work while the child is being cared for by others because he or she has been caring for and attending to the child at night and thus needs rest, or it is necessary to be on standby."
188,1167316,Ensure that all unallocated funds under the Research Council's schemes in 2019 are redirected from petroleum to other industries.
189,1167317,Ensure that all unallocated funds under Innovation Norway's schemes in 2019 are redirected from petroleum to other industries.
190,1167318,"Set guidelines for the export credit scheme, so that support for projects in renewable energy and other industries is prioritized over support for oil and gas projects."
191,1167319,Consider whether it is possible to introduce incentives through the grant schemes to better ensure the consideration of good animal welfare.
192,1167320,"Update the national land protection goal to a maximum of 3,000 acres of cultivated land being developed annually."
193,1167415,Make a new assessment of the basis for the decision to discontinue coal mining in Svalbard and present the matter to the Storting for a decision in connection with the revised national budget for 2019.
194,1167512,Promote a proposal to the Parliament to introduce the possibility of protecting cultivated land.
195,1167513,Investigate and present a proposal to the Storting that requires municipalities to obtain permission from the County Governor to rezone cultivated and arable land for purposes other than agriculture.
196,1167514,Stop the work on a third runway at Oslo Airport Gardermoen.
197,1167611,Stop the land consolidation sale of Statskog.
198,1167710,Investigate and present a new and more aggressive land conservation goal effective from 2020.
199,116789,Investigate changes that facilitate the supply of rental cars during peak season to meet the ever-growing demand.
200,116791,"Develop an industrial strategy aimed at transforming hazardous waste into industrial added value. The strategy must demonstrate how the state, in collaboration with Norwegian industrial companies and waste actors, can reduce the need for landfilling hazardous waste. The main objective of the strategy should be to ensure that as much as possible of the resources from hazardous waste is converted into resources, thereby gaining added value, either in the form of increased market value or as raw materials for industrial processes."
201,116792,"Follow up the Center for Ocean and Arctic in Tromsø with proposals for appropriations and resources that are in line with the mandate and expectations for the center, and request the government to return with proposals regarding this in connection with the revised national budget for 2019."
202,116793,"Consider future funding for the geoparks, in light of the responsibilities they have as a result of their UNESCO status, and promote proposals to the Parliament in connection with the revised national budget for 2019."
203,116794,"Present the upcoming parliamentary report on preventive maritime safety well ahead of summer 2019, which includes a plan for a national campaign with awareness-raising measures to prevent accidents at sea, mobilizing volunteers along the entire coast."
204,116795,"Establish a public committee to assess the consequences of the introduction and use of new genetic technology methods in relation to food production. The committee must be broadly composed to ensure that as many perspectives as possible are highlighted, existing knowledge is discussed, and the need for new knowledge is mapped out."
205,116796,"Await any implementation of coercive measures in the case regarding reindeer population reduction (Supreme Court ruling of December 21, 2017 (HR-2017-2428-A)) until the UN Human Rights Committee has addressed the matter."
206,116797,"Establish a joint committee to review various aspects of, and possibly propose changes to, the framework conditions for the horse industry. Such a matter must be presented to the Parliament during 2019."
207,116798,Investigate and present a proposal to ban option agreements on agricultural land in LNF areas.
208,116880,Investigate a general application and notification obligation in the Agricultural Act to regulate the agricultural sector's own development of cultivated and cultivable land.
209,1169118,Take the initiative to conduct an independent review of the procurement process that resulted in the awarding of Traffic Package 1: South to Go-Ahead Norway AS. The review should investigate whether all regulations regarding public procurement were followed.
210,1169119,"Ensure that quality is weighted higher than price in all upcoming tender packages for the railway, including Traffic Package 2: North."
211,1169120,"Suspend all tender processes for railway lines, pending the review of Traffic Package 1: South and the changed conditions for Traffic Package 2: North."
212,1169217,Explain how the intention of request resolution no. 264 from the session 2017-2018 is being followed up.
