,id,gpt-4o-mini_vote,gpt-4o-mini_voor_lprob,gpt-4o-mini_tegen_lprob
104,2024D02641,voor,-0.033732835,-10.408732
105,2024D02640,voor,-0.029808005,-14.029808
106,2024D02643,voor,-0.043079805,-11.043079
107,2024D02644,voor,-0.012640902,-9.387641
108,2024D02638,voor,-0.06335127,-2.9383512
109,2024D02532,voor,-0.016082466,-14.016083
110,2024D02642,voor,-0.01779166,-6.3927917
111,2024D02531,voor,-0.06202964,-13.68703
112,2024D02512,voor,-0.003675133,-10.128675
113,2024D02510,voor,-0.009798234,-13.259798
114,2024D02514,voor,-0.02060799,-12.645608
115,2024D02515,voor,-0.020596195,-13.3955965
116,2024D02524,voor,-0.25204194,-14.252042
117,2024D02528,voor,-0.12700012,-13.127
118,2024D02499,voor,-0.12704507,-14.627045
119,2024D02502,voor,-0.018197702,-13.143198
120,2024D02500,voor,-0.12702334,-10.627024
121,2024D02509,voor,-0.00321978,-11.12822
122,2024D02496,voor,-0.008666338,-12.258666
123,2024D02498,voor,-0.009790444,-14.13479
124,2024D02494,voor,-0.10028959,-13.100289
125,2024D02492,voor,-0.02982027,-14.02982
126,2024D02489,voor,-0.029800946,-13.779801
127,2024D02495,voor,-0.062042747,-15.312043
128,2024D02487,voor,-0.011216989,-9.011217
129,2024D02490,voor,-0.062026277,-11.437026
130,2024D02484,voor,-0.018200045,-11.8932
131,2024D02677,voor,-0.25935334,-1.8843534
132,2024D02689,tegen,-0.9782709,-0.4782709
133,2024D02678,voor,-0.026692932,-8.026693
134,2024D02684,tegen,-1.913202,-0.16320199
135,2024D02694,voor,-0.10028517,-10.850286
136,2024D02679,voor,-0.021103485,-7.6461034
137,2024D02690,tegen,-2.8137708,-0.06377066
138,2024D02685,voor,-0.078978136,-11.078979
139,2024D02676,voor,-0.16773966,-3.7927396
140,2024D02691,voor,-0.00676001,-11.50676
141,2024D02681,voor,-0.029851966,-9.904852
142,2024D02686,voor,-0.033702757,-15.158703
143,2024D02688,voor,-0.011117737,-10.386118
144,2024D02687,voor,-0.03811608,-10.538116
145,2024D02692,voor,-0.010853383,-6.8858533
146,2024D02683,voor,-0.07896018,-14.07896
147,2024D02682,voor,-0.20151469,-12.076514
148,2024D02671,voor,-0.25201842,-11.502018
149,2024D02662,voor,-0.01819349,-13.018193
150,2024D02661,voor,-0.0052819,-11.005281
151,2024D02667,tegen,-1.9124379,-0.16243792
152,2024D02660,voor,-0.048639145,-12.548639
153,2024D02674,voor,-0.011338639,-8.386338
154,2024D02670,voor,-0.01608763,-16.766088
155,2024D02672,voor,-0.013736661,-6.7637367
156,2024D02668,voor,-0.009156438,-7.634156
157,2024D02665,voor,-0.12702186,-13.627022
158,2024D02673,voor,-0.026350234,-11.65135
159,2024D02669,voor,-0.70188487,-0.70188487
160,2024D02663,voor,-0.36889833,-1.2438984
161,2024D02657,voor,-0.12703131,-14.002031
162,2024D02658,voor,-0.03809646,-11.663096
163,2024D02675,voor,-0.078951046,-11.828951
164,2024D02656,voor,-0.100268036,-14.225268
165,2024D02650,voor,-0.0160732,-15.016073
166,2024D02648,voor,-0.020609159,-14.770609
167,2024D02647,voor,-0.01420935,-12.26421
168,2024D02654,voor,-0.020925345,-8.0209255
169,2024D02652,voor,-0.016079536,-14.89108
170,2024D02653,voor,-0.08417067,-2.5841706
171,2024D02655,voor,-0.029872667,-9.654873
172,2024D02389,voor,-0.055118315,-8.805119
173,2024D02392,voor,-0.03810058,-11.5381
174,2024D02390,tegen,-11.126312,-0.001312498
175,2024D02214,voor,-0.0486421,-12.548642
176,2024D02396,voor,-0.00490972,-8.2549095
177,2024D02391,voor,-0.012571456,-11.762571
178,2024D02209,voor,-0.02635557,-12.151356
179,2024D02096,voor,-0.018198172,-12.143198
180,2024D02098,voor,-0.057777125,-2.9327772
181,2024D01578,voor,-0.012546854,-14.012547
182,2024D01579,voor,-0.029800138,-15.4048
183,2024D01966,voor,-0.0620395,-14.062039
184,2024D01250,voor,-0.018216552,-10.893216
185,2024D01889,voor,-0.013501126,-5.013501
186,2024D01893,voor,-0.04306873,-11.918069
187,2024D01900,voor,-0.01818764,-14.2681875
188,2024D01890,voor,-0.02636173,-13.276361
189,2024D01892,voor,-0.06203479,-13.812035
190,2024D01894,voor,-0.018202974,-13.018203
191,2024D01898,voor,-0.026355106,-14.901355
192,2024D01891,voor,-0.06203726,-13.187037
193,2024D01899,voor,-0.10027611,-11.850276
194,2024D01901,voor,-0.003662668,-10.628663
195,2024D01375,tegen,-1.1383978,-0.38839784
196,2024D01509,voor,-0.07054517,-7.570545
197,2024D01506,voor,-0.007684589,-10.007685
198,2024D01504,voor,-0.026350698,-13.901351
199,2024D01503,voor,-0.18984386,-1.8148439
200,2024D01505,voor,-0.10029013,-12.10029
201,2024D01397,voor,-0.113805056,-2.363805
202,2024D01396,voor,-0.018198876,-12.643199
203,2024D01390,voor,-0.003203497,-13.628203
204,2024D01377,voor,-0.02329183,-13.523292
205,2024D01388,voor,-0.07895225,-13.328952
206,2024D01394,voor,-0.062028628,-13.937029
207,2024D01379,voor,-0.029806962,-11.654807
208,2024D01376,voor,-0.003877743,-8.378878
209,2024D01399,voor,-0.3202578,-1.3202578
210,2024D01391,voor,-0.10028884,-12.600288
211,2024D01378,voor,-0.012572279,-10.887572
212,2024D01369,voor,-0.06202303,-12.437023
213,2024D01374,voor,-0.033703335,-11.158704
214,2024D01373,voor,-0.048648797,-13.048649
215,2024D01372,voor,-0.10030943,-14.600309
216,2024D01367,voor,-0.048643917,-12.923644
217,2024D01371,voor,-0.01109121,-14.761091
218,2024D01364,voor,-0.023293111,-14.8982935
219,2024D01317,voor,-0.12699352,-12.376993
220,2024D01323,voor,-0.062035687,-15.062036
221,2024D01329,voor,-0.4711002,-1.0961002
222,2024D01315,voor,-0.014192651,-15.389193
223,2024D01361,voor,-0.023287173,-12.398287
224,2024D01363,voor,-0.06203423,-15.437035
225,2024D01327,voor,-0.014214988,-12.7642145
226,2024D01322,voor,-0.029798856,-14.4047985
227,2024D01320,voor,-0.04304635,-12.793046
228,2024D01326,voor,-0.16029206,-13.035292
229,2024D01308,voor,-0.011084728,-13.886085
230,2024D01311,voor,-0.010440101,-7.38544
231,2024D01314,voor,-0.006749955,-12.88175
232,2024D01293,voor,-0.06202908,-11.687029
233,2024D01292,voor,-0.008654755,-11.883655
234,2024D01291,voor,-0.25203714,-12.252037
235,2024D01500,voor,-0.012810988,-6.387811
236,2024D01499,voor,-0.1603863,-9.535386
237,2024D01487,voor,-0.026359873,-11.65136
238,2024D01486,tegen,-6.378094,-0.003094174
239,2024D01485,voor,-0.02062691,-10.395627
240,2024D01489,tegen,-8.126194,-0.001194395
241,2024D01491,voor,-0.008723063,-9.633723
242,2024D01494,voor,-0.0620125,-13.437013
243,2024D01495,voor,-0.50816536,-1.0081654
244,2024D01493,voor,-0.023324793,-10.648325
245,2024D01496,voor,-0.24210069,-1.6171007
246,2024D01066,voor,-0.009811103,-11.009811
247,2024D01062,voor,-0.5954182,-0.8454182
248,2024D01067,voor,-0.5293292,-0.9043292
249,2024D01063,voor,-0.14293425,-2.1429343
250,2024D01061,voor,-0.026552126,-8.651552
251,2024D01189,voor,-0.02348247,-8.648482
252,2024D00840,voor,-0.1148065,-6.3648067
253,2024D00890,voor,-0.014219566,-14.514219
254,2024D00820,voor,-0.048649587,-14.04865
255,2023D51041,voor,-0.12705326,-10.252053
256,2023D51044,voor,-0.009814173,-11.134814
257,2023D51053,voor,-0.022841938,-4.772842
258,2023D51058,tegen,-1.1499077,-0.39990774
259,2023D51059,voor,-0.020609276,-10.770609
260,2023D51054,voor,-0.003232256,-7.2532325
261,2023D51060,voor,-0.04866004,-11.42366
262,2023D51172,voor,-0.016101707,-10.766102
263,2023D51166,voor,-0.007642952,-13.507643
264,2023D51170,voor,-0.04864505,-12.548645
265,2023D51167,voor,-0.009857849,-9.759858
266,2023D51168,tegen,-6.511624,-0.011623723
267,2023D51165,voor,-0.008650857,-13.758651
268,2023D51171,voor,-0.023293111,-13.0232935
269,2023D51182,voor,-0.25207242,-9.877072
270,2023D51205,voor,-0.16522141,-2.2902215
271,2023D51199,voor,-0.008653807,-12.758654
272,2023D51180,voor,-0.011118565,-10.636119
273,2023D51176,voor,-0.004505962,-7.879506
274,2023D51164,voor,-0.005267788,-12.380268
275,2023D51198,voor,-0.007650046,-13.00765
276,2023D51194,voor,-0.018230133,-11.26823
277,2023D51191,voor,-0.012029677,-5.2620296
278,2023D51193,voor,-0.005761931,-7.630762
279,2023D51190,voor,-0.048645843,-16.048645
280,2023D51196,tegen,-6.0039763,-0.003976413
281,2023D50610,voor,-0.005268738,-12.880269
282,2023D50622,voor,-0.10027461,-14.725275
283,2023D50617,voor,-0.048654933,-11.798655
284,2023D50623,voor,-0.033710595,-11.9087105
285,2023D50763,voor,-0.07897329,-13.578974
286,2023D50755,voor,-0.41010466,-1.1601046
287,2023D50761,voor,-0.20154704,-14.326547
288,2023D50757,voor,-0.112812504,-2.7378125
289,2023D50756,tegen,-11.001598,-0.001598772
290,2023D50764,voor,-0.023294393,-14.773294
291,2023D50750,voor,-0.029801289,-16.0298
292,2023D50748,voor,-0.12699708,-16.126997
293,2023D50753,voor,-0.10027082,-13.725271
294,2023D50406,voor,-0.036558595,-3.9115586
295,2023D50413,tegen,-5.8833632,-0.008363153
296,2023D50415,voor,-0.01607977,-14.51608
297,2023D50412,voor,-0.23353824,-1.6085383
298,2023D50417,voor,-0.01821292,-10.893213
299,2023D50414,voor,-0.020583117,-13.395583
300,2023D50405,voor,-0.005149555,-7.6301494
301,2023D50407,voor,-0.018202154,-12.268202
302,2023D50410,voor,-0.0086557,-13.883656
303,2023D50408,voor,-0.023297423,-15.148297
304,2023D50409,voor,-0.006749124,-14.756749
305,2023D49235,voor,-0.01821245,-15.268212
306,2023D49232,voor,-0.055095647,-8.805096
307,2023D49233,voor,-0.020587552,-13.520588
308,2023D49231,voor,-0.02059304,-11.145593
309,2023D49405,voor,-0.12702648,-13.502027
310,2023D49406,voor,-0.2015526,-15.201552
311,2023D49399,voor,-0.07808911,-2.828089
312,2023D49197,voor,-0.029849531,-10.02985
313,2023D49069,tegen,-2.4708831,-0.09588318
314,2023D49158,voor,-0.008750373,-9.25875
315,2023D49159,voor,-0.012847711,-8.137848
316,2023D49200,tegen,-7.2518334,-0.001833442
317,2023D49177,voor,-0.003690098,-10.00369
318,2023D49198,voor,-0.04627148,-3.7962716
319,2023D48994,voor,-0.20962441,-1.7096244
320,2023D49001,tegen,-10.875845,-0.000845007
321,2023D48998,voor,-0.038115047,-13.6631155
322,2023D49005,tegen,-11.379401,-0.004401275
323,2023D49011,tegen,-9.125577,-0.000577101
324,2023D48997,voor,-0.038084287,-12.788084
325,2023D49004,voor,-0.090148434,-6.8401484
326,2023D49010,voor,-0.011097104,-12.386097
327,2023D49003,tegen,-4.8944283,-0.019428294
328,2023D49009,tegen,-1.5152116,-0.26521155
329,2023D49013,voor,-0.011107249,-11.136107
330,2023D49000,voor,-0.023298353,-11.648298
331,2023D49002,tegen,-4.886217,-0.011216881
332,2023D49014,voor,-0.0206011,-11.270601
333,2023D49015,voor,-0.0789788,-14.203979
334,2023D49016,voor,-0.033707947,-14.533708
335,2023D48279,voor,-0.020583699,-13.020584
336,2023D48277,voor,-0.10027978,-12.22528
337,2023D44845,voor,-0.020588601,-13.520589
338,2023D44846,voor,-0.005653472,-7.8806534
339,2023D44849,voor,-0.07894829,-13.953948
340,2023D44840,voor,-0.026366955,-11.526367
341,2023D44503,voor,-0.007697603,-9.882698
342,2023D44712,voor,-0.048639372,-14.548639
343,2023D44505,voor,-0.02635151,-14.651352
344,2023D44839,voor,-0.006745805,-13.631745
345,2023D44926,voor,-0.020594912,-13.270595
346,2023D44626,voor,-0.06553313,-2.8155332
347,2023D44835,voor,-0.006912038,-5.881912
348,2023D44847,voor,-0.10028215,-13.350282
349,2023D44809,voor,-0.005269804,-12.63027
350,2023D44808,voor,-0.029804412,-14.654804
351,2023D44844,voor,-0.014196765,-15.139196
352,2023D44510,voor,-0.04865743,-11.298657
353,2023D44495,voor,-0.12699477,-13.626995
354,2023D44486,voor,-0.011142965,-10.261143
355,2023D44356,voor,-0.00472928,-9.629729
356,2023D44322,voor,-0.048943866,-8.1739435
357,2023D44715,tegen,-3.1698415,-0.044841643
358,2023D44718,tegen,-2.9311352,-0.05613519
359,2023D44683,voor,-0.08292466,-2.5829246
360,2023D44518,voor,-0.014234019,-10.264234
361,2023D44522,voor,-0.003634635,-12.253634
362,2023D44516,voor,-0.011349004,-8.261349
363,2023D44684,voor,-0.006062225,-9.3810625
364,2023D44496,voor,-0.016080827,-13.891081
365,2023D44687,voor,-0.014216277,-11.764216
366,2023D44521,voor,-0.048653223,-14.798654
367,2023D44523,voor,-0.026360214,-11.9013605
368,2023D44517,voor,-0.018215735,-11.018216
369,2023D44739,voor,-0.038096916,-13.413097
370,2023D44515,voor,-0.07896162,-14.078961
371,2023D44762,voor,-0.023301382,-14.148301
372,2023D44498,voor,-0.04864596,-14.798646
373,2023D44751,tegen,-2.0276163,-0.15261629
374,2023D44797,voor,-0.10027772,-14.475278
375,2023D44803,voor,-0.014209931,-13.76421
376,2023D44494,voor,-0.026355222,-13.651355
377,2023D44802,voor,-0.020587552,-14.520588
378,2023D44748,voor,-0.043060735,-13.66806
379,2023D44872,voor,-0.019009067,-7.144009
380,2023D44798,voor,-0.0621382,-9.187139
381,2023D44760,voor,-0.12700297,-11.002003
382,2023D44805,voor,-0.100288406,-13.850288
383,2023D44763,voor,-0.03371209,-11.408712
384,2023D44800,voor,-0.023307556,-11.398308
385,2023D44796,voor,-0.023287173,-14.648287
386,2023D44804,voor,-0.007637748,-14.132638
387,2023D44799,voor,-0.005963988,-13.255964
388,2023D44863,voor,-0.023293694,-12.7732935
389,2023D44869,voor,-0.043398317,-8.043398
390,2023D44860,voor,-0.014213687,-13.264214
391,2023D44758,voor,-0.007677015,-10.507677
392,2023D44870,voor,-0.25935334,-1.8843534
393,2023D44871,voor,-0.28367677,-1.5336767
394,2023D44861,voor,-0.02636173,-12.026361
395,2023D44862,voor,-0.05494367,-12.054944
396,2023D44858,voor,-0.026408862,-10.151409
397,2023D44856,voor,-0.014420404,-4.6394205
398,2023D44857,voor,-0.48596957,-0.98596954
399,2023D44811,voor,-0.026350234,-15.15135
400,2023D44788,voor,-0.16029987,-13.6603
401,2023D44868,voor,-0.2535119,-6.628512
402,2023D44818,voor,-0.016074726,-14.141075
403,2023D44853,voor,-0.35201603,-1.227016
404,2023D44830,voor,-0.02394628,-4.2739463
405,2023D44816,voor,-0.010443864,-7.3854437
406,2023D44865,voor,-0.12701862,-11.627019
407,2023D44864,voor,-0.020606121,-11.645606
408,2023D44852,voor,-0.007307734,-6.6323075
409,2023D44831,voor,-0.038101852,-15.913102
410,2023D44833,voor,-0.012547674,-13.1375475
411,2023D44855,voor,-0.00680466,-10.006804
412,2023D44815,voor,-0.07897329,-16.828974
413,2023D44866,voor,-0.16513804,-5.4151382
414,2023D44813,voor,-0.007639044,-14.007639
415,2023D44867,voor,-0.062441073,-4.312441
416,2023D44851,voor,-0.013894917,-4.763895
417,2023D44691,voor,-0.040990725,-3.5409908
418,2023D44787,voor,-0.03810357,-14.288103
419,2023D44820,voor,-0.062045433,-10.562045
420,2023D44786,voor,-0.014201354,-13.514201
421,2023D44823,voor,-0.038096577,-13.163096
422,2023D44470,voor,-0.018186936,-12.143187
423,2023D44821,voor,-0.030389134,-3.655389
424,2023D44825,voor,-0.004108443,-12.379108
425,2023D44478,voor,-0.078985296,-15.078985
426,2023D44810,voor,-0.038093705,-14.788094
427,2023D44826,voor,-0.006020403,-9.881021
428,2023D44807,voor,-0.007643664,-14.257644
429,2023D44832,voor,-0.011097693,-12.761098
430,2023D44469,voor,-0.007644729,-12.257645
431,2023D44824,voor,-0.043066334,-11.543066
432,2023D44468,voor,-0.1002816,-13.850282
433,2023D44884,voor,-0.006034143,-9.756034
434,2023D44475,voor,-0.02059234,-15.020593
435,2023D44769,voor,-0.12704192,-13.877042
436,2023D44876,voor,-0.038108394,-12.163109
437,2023D44827,voor,-0.04863392,-14.173634
438,2023D44784,voor,-0.008726611,-9.758727
439,2023D44770,voor,-0.014203351,-15.889203
440,2023D44476,voor,-0.07899422,-10.453994
441,2023D44688,voor,-0.006161278,-8.631162
442,2023D44828,tegen,-0.83286273,-0.58286273
443,2023D44888,voor,-0.12701157,-15.627011
444,2023D44473,voor,-0.020593626,-14.395594
445,2023D44883,voor,-0.07901471,-9.579015
446,2023D44881,voor,-0.012656682,-9.262656
447,2023D44889,voor,-0.006752191,-12.756752
448,2023D44773,voor,-0.16029967,-12.535299
449,2023D44890,voor,-0.01115134,-9.636151
450,2023D44471,voor,-0.01607613,-15.391076
451,2023D44887,voor,-0.005954514,-14.005955
452,2023D44891,voor,-0.020610094,-10.77061
453,2023D44877,voor,-0.040290218,-6.1652904
454,2023D44892,voor,-0.0789583,-13.2039585
455,2023D44875,voor,-0.008945208,-8.133945
456,2023D44764,voor,-0.018202037,-12.143202
457,2023D44885,voor,-0.025023716,-6.400024
458,2023D44882,voor,-0.006778492,-10.631779
459,2023D44834,tegen,-12.395798,-0.020797735
460,2023D44772,voor,-0.12700959,-12.127009
461,2023D44880,voor,-0.016075427,-13.766075
462,2023D44771,voor,-0.10031817,-9.975318
463,2023D44383,voor,-0.09610931,-3.0961094
464,2023D44407,voor,-0.12700906,-14.002009
465,2023D44382,voor,-0.007642475,-13.632643
466,2023D44379,voor,-0.033696882,-13.783697
467,2023D44380,voor,-0.014213571,-12.889214
468,2023D44384,voor,-0.049645826,-5.049646
469,2023D44386,voor,-0.10027783,-13.850278
470,2023D44381,voor,-0.00908875,-7.7590885
471,2023D44117,voor,-0.012602419,-10.262603
472,2023D44368,voor,-0.012542021,-14.137542
473,2023D44230,voor,-0.018750422,-7.51875
474,2023D44200,voor,-0.038115047,-11.0381155
475,2023D44388,voor,-0.008686429,-6.8836865
476,2023D44394,voor,-0.12705326,-10.127053
477,2023D44393,voor,-0.062026843,-11.687027
478,2023D44397,voor,-0.005294716,-10.630295
479,2023D44395,voor,-0.07903927,-9.32904
480,2023D44396,voor,-0.029958632,-8.779959
481,2023D44415,voor,-0.014219917,-12.88922
482,2023D44416,voor,-0.020117048,-6.2701173
483,2023D44413,voor,-0.008703448,-10.008703
484,2023D44392,voor,-0.12701914,-10.877019
485,2023D44402,voor,-0.004840916,-8.629841
486,2023D44399,voor,-0.01710683,-6.892107
487,2023D44403,voor,-0.026349766,-13.65135
488,2023D44401,voor,-0.011088028,-14.886088
489,2023D44404,voor,-0.00979753,-14.759797
490,2023D44109,voor,-0.11602786,-2.6160278
491,2023D44095,voor,-0.033699527,-13.7837
492,2023D44058,voor,-0.07896536,-14.078965
493,2023D43740,voor,-0.160354,-9.785354
494,2023D43813,voor,-0.016084578,-12.766085
495,2023D43734,voor,-0.048640843,-11.548641
496,2023D43748,voor,-0.048679683,-14.423679
497,2023D43744,voor,-0.038100816,-11.788101
498,2023D43731,voor,-0.02982004,-11.02982
499,2023D43746,voor,-0.06202897,-11.687029
500,2023D43369,voor,-0.16031043,-13.160311
501,2023D43585,tegen,-0.7868174,-0.6618174
502,2023D43582,voor,-0.04864539,-12.798645
503,2023D43824,voor,-0.048653793,-15.298654
504,2023D43371,voor,-0.25205427,-13.877054
505,2023D43201,voor,-0.026353711,-12.526354
506,2023D43200,tegen,-0.762186,-0.637186
507,2023D43329,voor,-0.07895555,-12.328956
508,2023D43828,voor,-0.006788075,-10.256788
509,2023D44059,voor,-0.38697046,-14.3869705
510,2023D43002,voor,-0.011103241,-11.011104
511,2023D44063,voor,-0.014207348,-14.764207
512,2023D42871,voor,-0.005966596,-12.380966
513,2023D43599,voor,-0.004663661,-12.754663
514,2023D43255,voor,-0.062040057,-12.56204
515,2023D44056,voor,-0.0205983,-14.645598
516,2023D44046,voor,-0.008841233,-8.6338415
517,2023D44104,voor,-0.009867998,-9.634868
518,2023D44100,voor,-0.023324793,-10.648325
519,2023D44105,voor,-0.12701997,-17.50202
520,2023D44101,voor,-0.016073551,-14.266073
521,2023D44114,tegen,-6.003838,-0.003838072
522,2023D44111,voor,-0.16030344,-16.785303
523,2023D44115,tegen,-5.1552444,-0.030244347
524,2023D44108,voor,-0.5844663,-0.8344663
525,2023D44107,voor,-0.018200867,-13.643201
526,2023D44097,voor,-0.051535822,-3.1765358
527,2023D44099,voor,-0.00776492,-9.132765
528,2023D44096,voor,-0.008653807,-14.008654
529,2023D44112,tegen,-1.9121056,-0.16210556
530,2023D44083,voor,-0.25202128,-13.502021
531,2023D44110,tegen,-1.138273,-0.38827303
532,2023D44113,voor,-0.5282781,-0.9032781
533,2023D44081,voor,-0.008653573,-12.633654
534,2023D43762,voor,-0.003670852,-10.253671
535,2023D43625,voor,-0.038113665,-11.663114
536,2023D43624,voor,-0.002852663,-11.002852
537,2023D43175,voor,-0.033686616,-12.783687
538,2023D43302,tegen,-0.90749663,-0.53249663
539,2023D43287,voor,-0.062018547,-15.437018
540,2023D43292,voor,-0.01819677,-13.768197
541,2023D43296,voor,-0.016116012,-10.391116
542,2023D43301,voor,-0.4772898,-0.9772898
543,2023D43300,voor,-0.10027794,-11.350278
544,2023D43297,voor,-0.06205933,-12.062059
545,2023D43299,voor,-0.014216277,-11.389216
546,2023D43198,voor,-0.00478385,-6.2547836
547,2023D43295,voor,-0.041682392,-3.2916825
548,2023D43199,voor,-0.014204875,-12.889205
549,2023D43288,voor,-0.006867521,-9.131867
550,2023D43291,voor,-0.004120073,-11.75412
551,2023D43286,voor,-0.011098874,-11.511099
552,2023D43197,voor,-0.005280008,-11.63028
553,2023D43195,voor,-0.07895115,-13.078951
554,2023D43196,tegen,-3.2915237,-0.041523673
555,2023D43182,voor,-0.018202037,-11.393202
556,2023D43189,voor,-0.033733066,-10.158733
557,2023D43192,tegen,-7.501683,-0.001683394
558,2023D43179,voor,-0.006782166,-10.631783
559,2023D43190,voor,-0.012551683,-12.762551
560,2023D43183,voor,-0.009154549,-7.6341543
561,2023D43186,voor,-0.055019718,-12.430019
562,2023D43193,voor,-0.02980731,-14.404807
563,2023D43194,voor,-0.004652623,-13.004653
564,2023D43185,voor,-0.009261204,-6.009261
565,2023D43171,voor,-0.062037934,-11.687037
566,2023D43319,voor,-0.004646927,-13.754647
567,2023D43318,voor,-0.078965686,-13.328966
568,2023D43173,tegen,-11.000764,-0.000763884
569,2023D43176,voor,-0.033961136,-8.283961
570,2023D43177,voor,-0.07297493,-2.947975
571,2023D43178,voor,-0.00865133,-14.383652
